id,band,year,site,country,elevation,species,sp,clade,color,sex,mass,wing.area,AR,wingload.gcm,total_vel,hor_acel,hor_decel,pitch_up,pitch_down,yaw,arc_radius,arc_avg_vel,arc_force,PRT_degrees,PRT_time,pPRT,ss.V,ss.HA,ss.HD,ss.PU,ss.PD,ss.Y,ss.ARC,ss.PRT
EUGFU004,A33370,2012,Cerro,Costa Rica,3100,Eugenes.fulgens,EUGFU,GEM,#CCAC00,M,10.4,3860.99,8.565,0.269360967,1.585853489,3.047056879,-4.311854753,1.258540373,-1.100148226,1.935856882,0.549094737,1.344137188,3.570400137,84.43517,0.462916667,0.615384615,235,92,83,38,62,75,15,24
EUGFU005,A33374,2012,Cerro,Costa Rica,3100,Eugenes.fulgens,EUGFU,GEM,#CCAC00,M,8.8,3635.16,7.9365,0.242080129,1.959075629,5.404276818,-5.614181364,1.37594795,-1.168207209,1.943971527,0.422541179,1.365405653,5.807397217,115.2713685,0.402138965,0.749490835,1100,861,860,114,274,153,123,368
EUGFU006,A33375,2012,Cerro,Costa Rica,3100,Eugenes.fulgens,EUGFU,GEM,#CCAC00,M,9,4425.7295,7.402,0.203356305,2.48550817,5.650128744,-7.2169489,1.599385194,-1.201628614,2.011481073,0.763449379,2.05637568,6.498522233,118.3306145,0.439769231,0.619047619,324,144,130,34,65,33,40,65
EUGFU007,A33379,2012,Cerro,Costa Rica,3100,Eugenes.fulgens,EUGFU,GEM,#CCAC00,M,9.4,3235.578,7.337,0.290519963,1.560042327,3.356997164,-3.924829278,1.362525487,-1.291850597,2.038336903,0.480232021,1.407552271,4.985448224,120.7109527,0.454259259,0.683544304,232,164,146,24,34,35,25,54
EUGFU008,A33380,2012,Cerro,Costa Rica,3100,Eugenes.fulgens,EUGFU,GEM,#CCAC00,M,9.6,3352.051,7.474,0.286391824,2.05995941,6.046419977,-7.101600215,1.461115987,-1.031424555,1.852013205,0.809297132,1.996296878,5.915570817,85.19320366,0.485585586,0.75,358,246,280,97,253,67,37,111
EUGFU009,A33383,2012,Cerro,Costa Rica,3100,Eugenes.fulgens,EUGFU,GEM,#CCAC00,M,9.4,2915.0705,7.78,0.322462184,1.502615141,4.625152443,-6.030008397,1.288668846,-1.185209387,1.920252501,0.414585003,1.148154424,3.307682078,109.0268243,0.5285,0.833333333,178,98,87,230,336,99,4,20
EUGFU010,A33384,2012,Cerro,Costa Rica,3100,Eugenes.fulgens,EUGFU,GEM,#CCAC00,M,9.8,3611.9735,7.407,0.27131982,1.838367975,6.395773235,-7.54704573,1.486837186,-1.228111733,1.795775726,0.783166124,1.79016223,4.641204073,108.4710448,0.521333333,0.588235294,265,164,179,144,237,116,21,30
EUGFU011,A33386,2012,Cerro,Costa Rica,3100,Eugenes.fulgens,EUGFU,GEM,#CCAC00,M,9.8,3722.124,7.638,0.26329053,1.594121413,5.772535169,-6.31102585,1.322293589,-0.996862357,1.823134233,0.14326105,0.750797051,3.937905677,152.0060815,0.429829545,0.988764045,686,287,334,92,238,54,2,176
EUGFU012,A33387,2012,Cerro,Costa Rica,3100,Eugenes.fulgens,EUGFU,GEM,#CCAC00,M,10.4,3295.0155,8.0875,0.315628257,2.040618095,4.677379489,-5.90530492,1.350463337,-1.03024509,1.739672983,0.618234204,1.666623966,5.364849116,125.9704933,0.497027027,0.637931034,141,98,99,14,39,22,21,37
EUGFU013,A33397,2012,Cerro,Costa Rica,3100,Eugenes.fulgens,EUGFU,GEM,#CCAC00,M,9.2,3208.5715,7.067,0.286731962,1.669646478,4.809182928,-6.156182201,1.373432451,-1.112479684,1.720055806,0.790351906,1.796603937,4.181011492,68.26703761,0.496833333,0.909090909,243,111,94,283,338,142,3,30
