"","species","id","band","year","site","country","elevation","sp","clade","color","sex","mass","wing.area","AR","wingload.gcm","total_vel","hor_acel","hor_decel","pitch_up","pitch_down","yaw","arc_radius","arc_avg_vel","arc_force","PRT_degrees","PRT_time","pPRT","ss.V","ss.HA","ss.HD","ss.PU","ss.PD","ss.Y","ss.ARC","ss.PRT","sp.mass","sp.wing.area","sp.AR","sp.wing.load","sp.muscle","sp.mass.STD","sp.wing.area.STD","sp.AR.STD","sp.wing.load.STD","sp.muscle.STD","rel.mass","rel.wing.area","rel.AR","rel.wingload.gcm","hi.elev","total_vel.STD","hor_acel.STD","hor_decel.STD","pitch_up.STD","pitch_down.STD","yaw.STD","arc_radius.STD","arc_avg_vel.STD","arc_force.STD","PRT_degrees.STD","PRT_time.STD","pPRT.STD","ss.V.STD","ss.HA.STD","ss.HD.STD","ss.PU.STD","ss.PD.STD","ss.Y.STD","ss.ARC.STD","ss.PRT.STD","rel.mass.STD","rel.wing.area.STD","rel.AR.STD","rel.wingload.gcm.STD"
"109","Phaethornis.hispidus","PHAHI002","A33230",2010,"Cicra","Peru",280,"PHAHI","HERMIT","#FF0000","U",4.84,2131.171,6.492,0.227105192,1.604294204,4.457841871,-4.93462813,1.161195718,-1.03357698,1.863758347,0.629787699,1.706818734,5.299198604,126.4474577,0.389761905,0.777777778,201,118,92,78,109,129,6,21,5.33000001882353,22.74357947625,6.750963102625,0.238163949007014,0.266425235026602,-0.155136412435462,0.0419570759506064,-1.0501614596128,-0.527501090243873,0.100364736758332,-0.49000001882353,2108.42742052375,-0.258963102625,-0.0110587570070142,FALSE,-0.402706871648719,-0.0847074697181794,0.0613591018794958,-0.21440567117147,0.201816321481818,0.110523086243249,1.20960018033912,1.53447927837799,0.607772468985148,0.769140550643485,-1.12460069282139,0.358791349040998,-0.812101353988438,-0.759009195215819,-0.884577195122486,-0.228460430772594,-0.508544076184329,0.0819682569911389,-0.644639632525302,-0.780656011813073,-1.03298994706011,-0.184770417225017,-0.80962195796221,-0.564894810001644
"110","Phaethornis.hispidus","PHAHI003","A33237",2010,"Cicra","Peru",280,"PHAHI","HERMIT","#FF0000","U",5,2124.0115,6.75,0.235403622,1.548924223,5.873766166,-5.708024607,1.1540797,-1.098262162,1.840829492,0.189127023,1.155895568,7.064535489,147.0898013,0.445526316,0.95,164,104,98,97,131,120,1,19,5.33000001882353,22.74357947625,6.750963102625,0.238163949007014,0.266425235026602,-0.155136412435462,0.0419570759506064,-1.0501614596128,-0.527501090243873,0.100364736758332,-0.330000018823529,2101.26792052375,-0.000963102624999657,-0.0027603270070142,FALSE,-0.591428477651295,1.16585291566599,-0.597082777608968,-0.253133269554124,-0.215671359918062,0.0185097599859295,-1.80469986080095,-0.65274687434934,2.24005574949999,1.47381564807014,-0.217934747363825,1.23279138707958,-0.940754898649785,-0.815302603818354,-0.861211218042112,-0.0387760579145379,-0.368168895984097,-0.00640377007743278,-0.727419039431467,-0.802129109207971,-0.775715690219242,-0.192391034587136,-0.262714551227774,-0.380599984521115
"111","Phaethornis.hispidus","PHAHI004","A33238",2010,"Cicra","Peru",280,"PHAHI","HERMIT","#FF0000","U",4.63,2008.344,6.608,0.230538195,1.819587829,6.064572404,-6.121919721,1.211541453,-1.023020086,1.913360389,0.264871089,0.976612626,4.103345938,136.2382842,0.438546512,0.914893617,311,303,326,82,161,114,8,86,5.33000001882353,22.74357947625,6.750963102625,0.238163949007014,0.266425235026602,-0.155136412435462,0.0419570759506064,-1.0501614596128,-0.527501090243873,0.100364736758332,-0.70000001882353,1985.60042052375,-0.142963102625,-0.00762575400701421,FALSE,0.331094331427665,1.33437514765933,-0.949458156703503,0.0595915847881817,0.269952068535051,0.30957571549906,-1.28657933474812,-1.36452006466078,-0.497948670847543,1.10337351137063,-0.331418427712722,1.05463214769062,-0.429617842833084,-0.0151320101108953,0.0266959110121187,-0.188526878591951,-0.176748195711053,-0.0653184547898139,-0.611527869762836,-0.0827803464788828,-1.37066240916374,-0.315508257679946,-0.563725604546728,-0.488653317483284
"112","Phaethornis.hispidus","PHAHI005","A33249",2010,"Cicra","Peru",280,"PHAHI","HERMIT","#FF0000","U",3.86,2231.734,6.541,0.172959681,1.923231563,5.30571721,-5.413202199,0.977266267,-0.947429756,1.711582603,0.435618026,1.391929767,5.0580074,146.5441043,0.41847619,0.84,487,419,458,48,132,116,20,105,5.33000001882353,22.74357947625,6.750963102625,0.238163949007014,0.266425235026602,-0.155136412435462,0.0419570759506064,-1.0501614596128,-0.527501090243873,0.100364736758332,-1.47000001882353,2208.99042052375,-0.209963102624999,-0.0652042680070142,FALSE,0.68435094411431,0.664145639478296,-0.34608160781849,-1.21540734220012,0.757823179540843,-0.500157053742907,-0.118600145192208,0.284335108859269,0.384759868363912,1.4551869935873,-0.65773905309811,0.674559103999153,0.182355775015482,0.451299089738678,0.540747406780357,-0.52796207212742,-0.361788205974995,-0.0456802265523535,-0.412857293188041,0.12121407877265,-2.60879477021039,-0.0777305200552646,-0.705751946605669,-1.76737979816194
"113","Phaethornis.hispidus","PHAHI006","A33248",2010,"Cicra","Peru",280,"PHAHI","HERMIT","#FF0000","U",4.66,2076.9715,6.638,0.224365139,1.734659556,4.220854489,-4.689001531,1.140765243,-1.054014595,1.622819018,0.288004849,1.008749864,4.588108355,21.10073515,0.371068966,0.97972973,288,266,283,97,279,163,3,145,5.33000001882353,22.74357947625,6.750963102625,0.238163949007014,0.266425235026602,-0.155136412435462,0.0419570759506064,-1.0501614596128,-0.527501090243873,0.100364736758332,-0.670000018823529,2054.22792052375,-0.112963102625,-0.0137988100070142,FALSE,0.0416270102164609,-0.294017411507904,0.270476733401781,-0.325594714055685,0.0699089473989349,-0.856364666655732,-1.12833491332005,-1.23693166074526,-0.0497228421037785,-2.82711835362646,-1.42852663605095,1.38366497847289,-0.50959166789284,-0.16390744713188,-0.140760258063898,-0.0387760579145379,0.576173225362922,0.415818137027965,-0.694307276669001,0.550676026670613,-1.32242348600607,-0.242460709943531,-0.500131720042723,-0.625746994022284
"114","Phaethornis.hispidus","PHAHI007",NA,2010,"Cicra","Peru",280,"PHAHI","HERMIT","#FF0000","U",5.45,2130.606,7.435,0.255795769,1.972619917,4.410032847,-4.08892952,1.079191274,-0.895006385,1.61516769,0.358284147,0.962424737,3.717649519,95.12924165,0.440192308,0.928571429,142,119,112,27,47,47,2,26,5.33000001882353,22.74357947625,6.750963102625,0.238163949007014,0.266425235026602,-0.155136412435462,0.0419570759506064,-1.0501614596128,-0.527501090243873,0.100364736758332,0.119999981176471,2107.86242052375,0.684036897375,0.0176318199929858,FALSE,0.852684927915095,-0.126932941580912,0.781356410904195,-0.660699535636792,1.09617132873451,-0.887069389572151,-0.647595645238191,-1.42084755965087,-0.85457511503366,-0.299980638980675,-0.304659655233797,1.12404484060248,-1.01725160088086,-0.754988237458495,-0.806690604854571,-0.737613221075798,-0.904146856748621,-0.723199100744736,-0.710863158050234,-0.726973268325827,-0.0521318428543166,-0.185371806820602,1.18934581161366,0.0722769057506929
"115","Phaethornis.hispidus","PHAHI008",NA,2010,"Cicra","Peru",280,"PHAHI","HERMIT","#FF0000","U",6.45,2081.6355,7.1975,0.309852517,1.274628242,4.405057068,-4.382553029,1.062987287,-0.946167343,1.61667027,NA,NA,NA,148.6464631,0.44,1,61,32,49,90,144,128,0,6,5.33000001882353,22.74357947625,6.750963102625,0.238163949007014,0.266425235026602,-0.155136412435462,0.0419570759506064,-1.0501614596128,-0.527501090243873,0.100364736758332,1.11999998117647,2058.89192052375,0.446536897375,0.0716885679929858,FALSE,-1.52633177939475,-0.13132760598903,0.531375940501873,-0.748886707273196,0.765970978774662,-0.881039547097779,NA,NA,NA,1.52695597103111,-0.307786364751791,1.48653333393432,-1.29889855000434,-1.10481156234568,-1.0520333641985,-0.108659774230664,-0.285219925865778,0.0721491428724087,-0.7439749208127,-0.941704242274809,1.55583226240107,-0.237496318662446,0.685894225956956,1.27279060999413
"116","Phaethornis.longirostris","PHALR001","CR0299",2012,"LaSelva","Costa Rica",60,"PHALR","HERMIT","#FF0000","U",6.3,NA,NA,NA,2.480699169,7.695966336,-8.861535822,1.470441159,-1.255040165,1.669817187,1.092156682,2.301258898,5.012436207,77.54692988,0.418809524,0.875,70,45,55,38,71,31,3,21,6.612000081,23.313964744,7.2523083364,0.285565597261465,0.287290995763287,0.628873082948753,0.116571897823985,0.164938812764168,0.783102282157741,0.108225052930674,-0.312000081,NA,NA,NA,FALSE,2.58440906222585,2.7752407585678,-3.28186854162862,1.46860486094277,-1.22753965715766,-0.66776136057291,4.37239395883092,3.89447274601939,0.342623380400021,-0.900194330778272,-0.652319421099072,0.85217846679747,-1.26760444454618,-1.05253911150046,-1.02866738711813,-0.627795952579029,-0.751010296530186,-0.880304926644419,-0.694307276669001,-0.780656011813073,-0.746772436302178,NA,NA,NA
"117","Phaethornis.longirostris","PHALR002","A33421",2012,"LaSelva","Costa Rica",60,"PHALR","HERMIT","#FF0000","U",6.2,2340.392,7.0015,0.264912886,1.906338478,5.074471085,-5.253667387,0.900870888,-0.915734713,1.780603318,0.387242826,1.28240037,5.12093337,136.9640039,0.377878788,0.584070796,229,206,210,9,62,20,47,66,6.612000081,23.313964744,7.2523083364,0.285565597261465,0.287290995763287,0.628873082948753,0.116571897823985,0.164938812764168,0.783102282157741,0.108225052930674,-0.412000081,2317.078035256,-0.2508083364,-0.020652711261465,FALSE,0.626772991693881,0.459906440942192,-0.210259420129473,-1.63117491842078,0.96238765017864,-0.223177432745328,-0.449506385054099,-0.150508761203828,0.442943102178334,1.12814766542075,-1.31780666983401,-0.624240385599718,-0.714741914785257,-0.405164912571315,-0.425046312541788,-0.917314205888694,-0.808436506612099,-0.988315181950451,0.0341515041052487,-0.297511320427864,-0.907568846827716,0.0373186249211564,-0.792335515913216,-0.777961152067815
"118","Phaethornis.longirostris","PHALR003","A33427",2012,"LaSelva","Costa Rica",60,"PHALR","HERMIT","#FF0000","U",6.2,2229.6195,6.967,0.278074353,1.680584153,5.89111923,-5.611295826,1.173803525,-1.103519378,1.925119416,0.375546813,1.323866377,5.783648038,108.2018316,0.427616279,0.445595855,814,769,824,96,375,234,107,86,6.612000081,23.313964744,7.2523083364,0.285565597261465,0.287290995763287,0.628873082948753,0.116571897823985,0.164938812764168,0.783102282157741,0.108225052930674,-0.412000081,2206.305535256,-0.2853083364,-0.00749124426146497,FALSE,-0.142682189734259,1.18117933846986,-0.514731380548922,-0.145790037261887,-0.24960220544708,0.356764604251666,-0.529511918534184,0.014115891663964,1.0557089042866,0.146283059325118,-0.509131593857641,-1.32697840799842,1.31937493999549,1.85863430480205,1.9660720086832,-0.0487594459596988,1.18871946623666,1.11297523945781,1.02750438697923,-0.0827803464788828,-0.907568846827716,-0.0805883290205155,-0.865468483092822,-0.485666071693246
"119","Phaethornis.longirostris","PHALR004",NA,2012,"LaSelva","Costa Rica",60,"PHALR","HERMIT","#FF0000","U",6.7,NA,NA,NA,2.190718914,6.874686856,-7.402223048,1.235452165,-1.161717806,2.097448687,0.373454159,1.24757804,5.687933415,144.2496662,0.372871287,0.737226277,552,410,477,67,189,93,36,101,6.612000081,23.313964744,7.2523083364,0.285565597261465,0.287290995763287,0.628873082948753,0.116571897823985,0.164938812764168,0.783102282157741,0.108225052930674,0.0879999190000005,NA,NA,NA,FALSE,1.59604788809728,2.04987741347673,-2.03946225423344,0.189721167284923,-0.62522342217084,1.04832069966982,-0.543826531527452,-0.288757278556792,0.967208301284883,1.37686093609173,-1.39922294496591,0.152999012808561,0.408368758880009,0.415110469922763,0.614739667534877,-0.338277699269364,0.0019111245437888,-0.271519851283148,-0.147963191088314,0.0782678839828534,-0.103586794200021,NA,NA,NA
"120","Phaethornis.longirostris","PHALR005","A33439",2012,"LaSelva","Costa Rica",60,"PHALR","HERMIT","#FF0000","U",7.9,1870.228,7.1175,0.422408391,1.324197402,2.387504982,-2.804937464,1.16145657,-0.989731636,1.48913484,0.421583844,1.171194629,3.676325123,85.66674696,0.582388889,0.726790451,951,912,906,24,76,202,103,274,6.612000081,23.313964744,7.2523083364,0.285565597261465,0.287290995763287,0.628873082948753,0.116571897823985,0.164938812764168,0.783102282157741,0.108225052930674,1.287999919,1846.914035256,-0.1348083364,0.136842793738535,FALSE,-1.35738154111674,-1.91325247521433,1.87450095932563,-0.212986032899995,0.484800622379977,-1.39283828846352,-0.214599715119721,-0.592007903116153,-0.892784887480676,-0.623005218785407,2.00729514248116,0.100038876683014,1.79574076752534,2.43363126409937,2.28540702878165,-0.767563385211281,-0.719106846484678,0.798763587658442,0.961280861454294,1.93569080864154,1.82597013210645,-0.463126928740919,-0.546439162497734,2.7197615024515
"121","Phaethornis.longirostris","PHALR006","A33440",2012,"LaSelva","Costa Rica",60,"PHALR","HERMIT","#FF0000","U",7.8,1820.3575,7.059,0.428487261,1.814908316,3.794009322,-3.386056697,0.970246228,-0.964381595,1.650161352,0.489442614,1.325354012,4.079430307,144.3733144,0.48733945,0.53960396,421,416,422,9,56,19,93,109,6.612000081,23.313964744,7.2523083364,0.285565597261465,0.287290995763287,0.628873082948753,0.116571897823985,0.164938812764168,0.783102282157741,0.108225052930674,1.187999919,1797.043535256,-0.193308336399999,0.142921663738535,FALSE,0.315144800784518,-0.671011900851624,1.37975699376266,-1.25361259280833,0.648413516604839,-0.746640081674118,0.249582147122769,0.0200219678257937,-0.520061778524588,1.38108195910491,0.461899289987598,-0.849902416341925,-0.0471343316777304,0.439236216466707,0.40055154429811,-0.917314205888694,-0.846720646666708,-0.998134296069181,0.795722047641965,0.164160273562446,1.66517372158091,-0.516209406310244,-0.670447237280541,2.85476345893831
"122","Phaethornis.longirostris","PHALR007","A33443",2012,"LaSelva","Costa Rica",60,"PHALR","HERMIT","#FF0000","U",6.4,1951.0255,6.8915,0.328032617,1.818052437,6.365980334,-5.685096192,1.142245342,-1.0452993,1.895888086,0.284431,1.120007628,5.749319746,104.284227,0.461383929,0.746666667,905,869,945,99,557,275,38,112,6.612000081,23.313964744,7.2523083364,0.285565597261465,0.287290995763287,0.628873082948753,0.116571897823985,0.164938812764168,0.783102282157741,0.108225052930674,-0.212000080999999,1927.711535256,-0.3608083364,0.0424670197385351,FALSE,0.325861141189014,1.60058204758306,-0.577562351649889,-0.317539551795194,0.126158743561926,0.239459492233409,-1.1527815085677,-0.795225981745432,1.0239679388333,0.0125463840386892,0.039892017512169,0.20090747156192,1.63579311740583,2.26073008053444,2.43728587980409,-0.0188092818242162,2.35000504789313,1.51555891832575,-0.114851428325848,0.196369919654793,-0.585976025776638,-0.377125555556218,-1.0255130924279,0.623826873983246
"123","Phaethornis.longirostris","PHALR008","A33442",2012,"LaSelva","Costa Rica",60,"PHALR","HERMIT","#FF0000","U",6.8,2137.476,6.792,0.318132227,1.520042844,3.522927721,-4.161400685,1.12290268,-1.007136923,1.805750854,0.288042524,0.962074708,3.439183715,94.32331426,0.449647887,0.797752809,262,243,232,47,128,67,18,71,6.612000081,23.313964744,7.2523083364,0.285565597261465,0.287290995763287,0.628873082948753,0.116571897823985,0.164938812764168,0.783102282157741,0.108225052930674,0.187999919,2114.162035256,-0.4603083364,0.032566629738535,FALSE,-0.689867020161344,-0.910434243284924,0.719657073616783,-0.422808375677795,0.372464339338685,-0.122260555974304,-1.12807720084368,-1.42223721365394,-1.11205292560143,-0.327492871751911,-0.150922687154213,0.460161414129473,-0.599996861438651,-0.25638947555033,-0.339371063247082,-0.537945460172581,-0.387310966011401,-0.526816818370133,-0.445969055950507,-0.243828576940619,0.057209616325517,-0.178666456809673,-1.23643280936618,0.403955085314886
"124","Phaethornis.longirostris","PHALR009","A33449",2012,"LaSelva","Costa Rica",60,"PHALR","HERMIT","#FF0000","U",6.3,1630.415,7.971,0.386404688,1.839675096,5.826820079,-6.054041146,1.333394456,-1.118074496,2.026170142,0.43436911,1.292614782,4.571501332,95.49890126,0.419929577,0.845238095,393,340,363,127,287,109,26,142,6.612000081,23.313964744,7.2523083364,0.285565597261465,0.287290995763287,0.628873082948753,0.116571897823985,0.164938812764168,0.783102282157741,0.108225052930674,-0.312000081,1607.101035256,0.7186916636,0.100839090738535,FALSE,0.399559250865556,1.12438959954216,-0.89166878497871,0.7227537861632,-0.343543078432823,0.762280423509843,-0.127143243669596,-0.109956411184965,-0.0650781922425283,-0.287361436106276,-0.634108632282391,0.701141592461355,-0.144493770880911,0.133643426910089,0.170786103007761,0.260725583440288,0.627218745435734,-0.114414025383465,-0.313522004900643,0.518466380578266,-0.746772436302178,-0.71838541207942,1.26280685164119,1.92017698332706
