birdID,treatmentID,bird.treatment.block,stripe.size,grating.period,left.grating.orientation,replicate,to.from.feeder,avg.y.position,avg.x.velocity,percent.vstripes.fused,top.black.red
178,0_0.58_1_0.58,178_0_0.58_1_0.58,0.58,1.16,hor,5,to,-0.149682709,1.487975927,0.791666667,NA
178,0_1.15_1_1.15,178_0_1.15_1_1.15,1.15,2.3,hor,1,from,0.037805275,1.512955583,0.726190476,NA
178,0_1.15_1_1.15,178_0_1.15_1_1.15,1.15,2.3,hor,1,to,-0.154891115,1.318737035,0.477178423,NA
178,0_1.15_1_1.15,178_0_1.15_1_1.15,1.15,2.3,hor,2,from,0.096437939,1.610381257,0.801687764,NA
178,0_1.15_1_1.15,178_0_1.15_1_1.15,1.15,2.3,hor,2,to,-0.091924935,1.530846205,0.661971831,NA
178,0_1.15_1_1.15,178_0_1.15_1_1.15,1.15,2.3,hor,3,from,0.047263364,1.559520524,0.771784232,NA
178,0_1.15_1_1.15,178_0_1.15_1_1.15,1.15,2.3,hor,3,to,-0.125364285,1.240234198,0.475206612,NA
178,0_1.15_1_1.15,178_0_1.15_1_1.15,1.15,2.3,hor,5,to,-0.103375294,1.344507155,0.563786008,NA
178,0_1.15_1_1.15,178_0_1.15_1_1.15,1.15,2.3,hor,4,from,0.066040973,1.57525395,0.79253112,NA
178,0_1.15_1_1.15,178_0_1.15_1_1.15,1.15,2.3,hor,5,from,0.052386708,1.69206181,0.783185841,NA
178,0_1.15_1_1.15,178_0_1.15_1_1.15,1.15,2.3,hor,4,to,-0.125436442,1.2876389,0.506276151,NA
178,0_2.3_1_2.3,178_0_2.3_1_2.3,2.3,4.6,hor,1,from,0.091946235,1.513745953,0,NA
178,0_2.3_1_2.3,178_0_2.3_1_2.3,2.3,4.6,hor,1,to,-0.122817995,1.280994569,0,NA
178,0_2.3_1_2.3,178_0_2.3_1_2.3,2.3,4.6,hor,2,from,0.080392047,1.492989195,0,NA
178,0_2.3_1_2.3,178_0_2.3_1_2.3,2.3,4.6,hor,2,to,-0.130974601,1.142637882,0,NA
178,0_2.3_1_2.3,178_0_2.3_1_2.3,2.3,4.6,hor,3,from,0.052812474,1.424844427,0,NA
178,0_2.3_1_2.3,178_0_2.3_1_2.3,2.3,4.6,hor,3,to,-0.113171229,1.180157311,0,NA
178,0_2.3_1_2.3,178_0_2.3_1_2.3,2.3,4.6,hor,4,from,0.065527883,1.596324363,0,NA
178,0_2.3_1_2.3,178_0_2.3_1_2.3,2.3,4.6,hor,4,to,-0.135407038,1.361932835,0.03652968,NA
178,0_2.3_1_2.3,178_0_2.3_1_2.3,2.3,4.6,hor,5,from,0.0810651,1.430764302,0,NA
178,0_2.3_1_2.3,178_0_2.3_1_2.3,2.3,4.6,hor,5,to,-0.113334631,1.345781124,0,NA
178,0_4.6_1_4.6,178_0_4.6_1_4.6,4.6,9.2,hor,1,from,0.093150568,1.686149449,0,NA
178,0_4.6_1_4.6,178_0_4.6_1_4.6,4.6,9.2,hor,1,to,-0.086073294,1.201382372,0,NA
178,0_4.6_1_4.6,178_0_4.6_1_4.6,4.6,9.2,hor,2,from,0.083435694,1.684627074,0,NA
178,0_4.6_1_4.6,178_0_4.6_1_4.6,4.6,9.2,hor,2,to,-0.12958072,1.356791294,0,NA
178,0_4.6_1_4.6,178_0_4.6_1_4.6,4.6,9.2,hor,3,from,0.082771436,1.533708007,0,NA
178,0_4.6_1_4.6,178_0_4.6_1_4.6,4.6,9.2,hor,3,to,-0.121970234,1.243054625,0,NA
178,0_4.6_1_4.6,178_0_4.6_1_4.6,4.6,9.2,hor,4,from,0.128069407,1.633082731,0,NA
178,0_4.6_1_4.6,178_0_4.6_1_4.6,4.6,9.2,hor,4,to,-0.102545002,1.218026177,0,NA
178,0_4.6_1_4.6,178_0_4.6_1_4.6,4.6,9.2,hor,5,to,-0.107549436,1.178955443,0,NA
178,0_4.6_1_4.6,178_0_4.6_1_4.6,4.6,9.2,hor,5,from,0.102219314,1.659575991,0,NA
178,0_9.2_1_9.2,178_0_9.2_1_9.2,9.2,18.4,hor,2,to,-0.048357854,1.248862546,0,black
178,0_9.2_1_9.2,178_0_9.2_1_9.2,9.2,18.4,hor,4,to,-0.047691124,1.130382161,0,black
178,0_9.2_1_9.2,178_0_9.2_1_9.2,9.2,18.4,hor,2,from,0.057321825,1.443821899,0,black
178,0_9.2_1_9.2,178_0_9.2_1_9.2,9.2,18.4,hor,4,from,0.018048137,1.518616223,0,black
178,0_9.2_1_9.2,178_0_9.2_1_9.2,9.2,18.4,hor,5,to,-0.017634681,1.33094733,0,black
178,0_9.2_1_9.2,178_0_9.2_1_9.2,9.2,18.4,hor,5,from,0.000675532,1.509393356,0,black
178,0_9.2_1_9.2,178_0_9.2_1_9.2,9.2,18.4,hor,1,from,0.023840533,1.478331762,0,black
178,0_9.2_1_9.2,178_0_9.2_1_9.2,9.2,18.4,hor,1,to,-0.018983954,1.010589592,0,black
