birdID,treatmentID,bird.treatment.block,walls.stripe.size,left.grating.orientation,H.grating.period,V.grating.period,replicate,to.from.feeder,avg.y.position,avg.x.velocity,top.black.red
195,1_9.2_0_1.15_0_0,195_1_9.2_0_1.15_0_0,H 1.15 cm V 9.2 cm,ver,2.3,18.4,1,to,0.061857428,2.700386367,NA
195,1_9.2_0_1.15_0_0,195_1_9.2_0_1.15_0_0,H 1.15 cm V 9.2 cm,ver,2.3,18.4,3,to,0.129297937,2.669182126,NA
195,1_9.2_0_1.15_0_0,195_1_9.2_0_1.15_0_0,H 1.15 cm V 9.2 cm,ver,2.3,18.4,2,from,0.028899808,2.578016406,NA
195,1_9.2_0_1.15_0_0,195_1_9.2_0_1.15_0_0,H 1.15 cm V 9.2 cm,ver,2.3,18.4,2,to,0.112781298,2.766445176,NA
195,1_9.2_0_1.15_0_0,195_1_9.2_0_1.15_0_0,H 1.15 cm V 9.2 cm,ver,2.3,18.4,4,from,0.033069668,2.724218138,NA
195,1_9.2_0_1.15_0_0,195_1_9.2_0_1.15_0_0,H 1.15 cm V 9.2 cm,ver,2.3,18.4,5,from,0.059234205,2.267147703,NA
195,1_9.2_0_1.15_0_0,195_1_9.2_0_1.15_0_0,H 1.15 cm V 9.2 cm,ver,2.3,18.4,3,from,0.071269425,2.513697834,NA
195,1_9.2_0_1.15_0_0,195_1_9.2_0_1.15_0_0,H 1.15 cm V 9.2 cm,ver,2.3,18.4,5,to,0.116798674,2.44384746,NA
195,1_9.2_0_1.15_0_0,195_1_9.2_0_1.15_0_0,H 1.15 cm V 9.2 cm,ver,2.3,18.4,4,to,0.155630692,2.622446655,NA
195,1_9.2_0_9.2_0_0,195_1_9.2_0_9.2_0_0,H 9.2 cm V 9.2 cm,ver,18.4,18.4,1,from,0.014790504,2.554169244,black
195,1_9.2_0_9.2_0_0,195_1_9.2_0_9.2_0_0,H 9.2 cm V 9.2 cm,ver,18.4,18.4,2,from,-0.053915151,2.893327394,black
195,1_9.2_0_9.2_0_0,195_1_9.2_0_9.2_0_0,H 9.2 cm V 9.2 cm,ver,18.4,18.4,3,from,0.003043074,2.819639835,black
195,1_9.2_0_9.2_0_0,195_1_9.2_0_9.2_0_0,H 9.2 cm V 9.2 cm,ver,18.4,18.4,5,to,0.011270069,2.85067917,black
195,1_9.2_0_9.2_0_0,195_1_9.2_0_9.2_0_0,H 9.2 cm V 9.2 cm,ver,18.4,18.4,5,from,-0.012198677,2.96051102,black
195,1_9.2_0_9.2_0_0,195_1_9.2_0_9.2_0_0,H 9.2 cm V 9.2 cm,ver,18.4,18.4,1,to,0.024310827,2.650046224,black
195,1_9.2_0_9.2_0_0,195_1_9.2_0_9.2_0_0,H 9.2 cm V 9.2 cm,ver,18.4,18.4,2,to,0.011921449,2.565278749,black
195,1_9.2_0_9.2_0_0,195_1_9.2_0_9.2_0_0,H 9.2 cm V 9.2 cm,ver,18.4,18.4,4,from,-0.028231125,3.119930132,black
195,1_9.2_0_9.2_0_0,195_1_9.2_0_9.2_0_0,H 9.2 cm V 9.2 cm,ver,18.4,18.4,3,to,0.061588006,2.627857842,black
195,1_9.2_0_9.2_0_0,195_1_9.2_0_9.2_0_0,H 9.2 cm V 9.2 cm,ver,18.4,18.4,4,to,0.008939358,2.566674997,black
196,0_1.15_1_1.15_0_0,196_0_1.15_1_1.15_0_0,H 1.15 cm V 1.15 cm,hor,2.3,2.3,1,from,-0.098225671,1.289541135,NA
196,0_1.15_1_1.15_0_0,196_0_1.15_1_1.15_0_0,H 1.15 cm V 1.15 cm,hor,2.3,2.3,2,to,-0.086044179,1.75824837,NA
196,0_1.15_1_1.15_0_0,196_0_1.15_1_1.15_0_0,H 1.15 cm V 1.15 cm,hor,2.3,2.3,4,from,-0.090928976,1.669556815,NA
196,0_1.15_1_1.15_0_0,196_0_1.15_1_1.15_0_0,H 1.15 cm V 1.15 cm,hor,2.3,2.3,1,to,-0.056849501,2.100790012,NA
196,0_1.15_1_1.15_0_0,196_0_1.15_1_1.15_0_0,H 1.15 cm V 1.15 cm,hor,2.3,2.3,2,from,-0.100298262,1.287021743,NA
196,0_1.15_1_1.15_0_0,196_0_1.15_1_1.15_0_0,H 1.15 cm V 1.15 cm,hor,2.3,2.3,5,to,-0.09276087,2.273142044,NA
196,0_1.15_1_1.15_0_0,196_0_1.15_1_1.15_0_0,H 1.15 cm V 1.15 cm,hor,2.3,2.3,3,from,-0.101461983,1.584619421,NA
