birdID,treatmentID,bird.treatment.block,dot.density,left.wall.speed,right.wall.speed,wall.diff.L-R,replicate,to.from.feeder,avg.y.position,avg.x.velocity
192,NA_0_12800_0_0_255,192_NA_0_12800_0_0_255,12800,0,0,0,1,from,0.086423094,1.288458965
194,NA_0_12800_0_0_255,194_NA_0_12800_0_0_255,12800,0,0,0,1,from,-0.081897233,3.394546953
195,NA_0_12800_0_0_255,195_NA_0_12800_0_0_255,12800,0,0,0,1,from,-0.044892844,2.304475394
196,NA_0_12800_0_0_255,196_NA_0_12800_0_0_255,12800,0,0,0,1,from,0.165719258,2.105713125
197,NA_0_12800_0_0_255,197_NA_0_12800_0_0_255,12800,0,0,0,1,from,0.102296696,1.919809589
198,NA_0_12800_0_0_255,198_NA_0_12800_0_0_255,12800,0,0,0,1,from,0.132092931,3.449196875
187,NA_0_12800_0.2572_-0.2572_255,187_NA_0_12800_0.2572_-0.2572_255,12800,0.2572,-0.2572,0.5144,1,from,0.043276801,2.365444626
188,NA_0_12800_0.2572_-0.2572_255,188_NA_0_12800_0.2572_-0.2572_255,12800,0.2572,-0.2572,0.5144,1,from,-0.010573845,2.212109548
189,NA_0_12800_0.2572_-0.2572_255,189_NA_0_12800_0.2572_-0.2572_255,12800,0.2572,-0.2572,0.5144,1,from,-0.039455858,2.819230541
190,NA_0_12800_0.2572_-0.2572_255,190_NA_0_12800_0.2572_-0.2572_255,12800,0.2572,-0.2572,0.5144,1,from,0.073602071,2.37784383
192,NA_0_12800_0.2572_-0.2572_255,192_NA_0_12800_0.2572_-0.2572_255,12800,0.2572,-0.2572,0.5144,1,from,0.107492481,1.326868361
194,NA_0_12800_0.2572_-0.2572_255,194_NA_0_12800_0.2572_-0.2572_255,12800,0.2572,-0.2572,0.5144,1,from,0.167095366,3.061644272
195,NA_0_12800_0.2572_-0.2572_255,195_NA_0_12800_0.2572_-0.2572_255,12800,0.2572,-0.2572,0.5144,1,from,0.009684148,2.942270075
196,NA_0_12800_0.2572_-0.2572_255,196_NA_0_12800_0.2572_-0.2572_255,12800,0.2572,-0.2572,0.5144,1,from,0.045710135,3.047260574
197,NA_0_12800_0.2572_-0.2572_255,197_NA_0_12800_0.2572_-0.2572_255,12800,0.2572,-0.2572,0.5144,1,from,-0.021266403,1.893360475
198,NA_0_12800_0.2572_-0.2572_255,198_NA_0_12800_0.2572_-0.2572_255,12800,0.2572,-0.2572,0.5144,1,from,0.042994854,3.619688051
187,NA_0_3200_-0.2572_0.2572_255,187_NA_0_3200_-0.2572_0.2572_255,3200,-0.2572,0.2572,-0.5144,1,from,0.069847595,2.052938276
188,NA_0_3200_-0.2572_0.2572_255,188_NA_0_3200_-0.2572_0.2572_255,3200,-0.2572,0.2572,-0.5144,1,from,0.111191278,2.419829911
189,NA_0_3200_-0.2572_0.2572_255,189_NA_0_3200_-0.2572_0.2572_255,3200,-0.2572,0.2572,-0.5144,1,from,-0.027995183,2.304824443
190,NA_0_3200_-0.2572_0.2572_255,190_NA_0_3200_-0.2572_0.2572_255,3200,-0.2572,0.2572,-0.5144,1,from,0.059246585,1.855113823
192,NA_0_3200_-0.2572_0.2572_255,192_NA_0_3200_-0.2572_0.2572_255,3200,-0.2572,0.2572,-0.5144,1,from,0.093044985,1.441301276
194,NA_0_3200_-0.2572_0.2572_255,194_NA_0_3200_-0.2572_0.2572_255,3200,-0.2572,0.2572,-0.5144,1,from,0.087527809,2.664042597
195,NA_0_3200_-0.2572_0.2572_255,195_NA_0_3200_-0.2572_0.2572_255,3200,-0.2572,0.2572,-0.5144,1,from,0.148979679,2.670444766
196,NA_0_3200_-0.2572_0.2572_255,196_NA_0_3200_-0.2572_0.2572_255,3200,-0.2572,0.2572,-0.5144,1,from,0.074977088,2.531285716
197,NA_0_3200_-0.2572_0.2572_255,197_NA_0_3200_-0.2572_0.2572_255,3200,-0.2572,0.2572,-0.5144,1,from,0.131906071,2.053201706
198,NA_0_3200_-0.2572_0.2572_255,198_NA_0_3200_-0.2572_0.2572_255,3200,-0.2572,0.2572,-0.5144,1,from,0.146648311,3.380273248
187,NA_0_3200_0_0_255,187_NA_0_3200_0_0_255,3200,0,0,0,1,from,0.05825138,1.727064553
188,NA_0_3200_0_0_255,188_NA_0_3200_0_0_255,3200,0,0,0,1,from,-0.051849718,1.750124275
189,NA_0_3200_0_0_255,189_NA_0_3200_0_0_255,3200,0,0,0,1,from,0.062742102,3.062813759
190,NA_0_3200_0_0_255,190_NA_0_3200_0_0_255,3200,0,0,0,1,from,0.072860768,2.494440057
192,NA_0_3200_0_0_255,192_NA_0_3200_0_0_255,3200,0,0,0,1,from,0.075015243,1.546812575
194,NA_0_3200_0_0_255,194_NA_0_3200_0_0_255,3200,0,0,0,1,from,0.094968639,2.998318881
195,NA_0_3200_0_0_255,195_NA_0_3200_0_0_255,3200,0,0,0,1,from,0.002223563,2.241392873
196,NA_0_3200_0_0_255,196_NA_0_3200_0_0_255,3200,0,0,0,1,from,0.140595675,2.450082939
197,NA_0_3200_0_0_255,197_NA_0_3200_0_0_255,3200,0,0,0,1,from,0.074851673,1.434847559
