birdID,treatmentID,bird.treatment.block,grating.orientation,grating.period,wall.speeds,left.wall.speed,right.wall.speed,replicate,to.from.feeder,avg.y.position,avg.z.position,avg.x.velocity
197,1_9.2_1_9.2_0_-0.34,197_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,2,from,0.111829783,1.542438122,1.693903917
198,1_9.2_1_9.2_0_-0.34,198_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,2,from,0.019619928,1.530212386,1.663018635
199,1_9.2_1_9.2_0_-0.34,199_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,2,from,0.061230887,1.513808403,1.698204132
201,1_9.2_1_9.2_0_-0.34,201_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,2,from,-0.016685314,1.539179012,2.293640758
195,1_9.2_1_9.2_0_0,195_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,2,from,0.048686975,1.508236207,2.160107144
196,1_9.2_1_9.2_0_0,196_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,2,from,0.101806742,1.526667143,2.197264989
197,1_9.2_1_9.2_0_0,197_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,2,from,0.035146692,1.539346799,1.707120641
198,1_9.2_1_9.2_0_0,198_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,2,from,0.089271287,1.532175389,2.741090521
199,1_9.2_1_9.2_0_0,199_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,2,from,0.038264655,1.479580075,1.725120824
201,1_9.2_1_9.2_0_0,201_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,2,from,0.040149258,1.518011866,2.150082992
195,1_9.2_1_9.2_0_0.34,195_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,2,from,0.09928694,1.521982882,2.389917063
196,1_9.2_1_9.2_0_0.34,196_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,2,from,0.094012133,1.523559749,2.312434564
197,1_9.2_1_9.2_0_0.34,197_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,2,from,0.016211964,1.542281603,1.611596833
198,1_9.2_1_9.2_0_0.34,198_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,2,from,0.011373215,1.53785606,2.681027537
199,1_9.2_1_9.2_0_0.34,199_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,2,from,0.075138598,1.535382507,1.458809014
201,1_9.2_1_9.2_0_0.34,201_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,2,from,0.059246433,1.535007774,2.096493905
195,1_9.2_1_9.2_0.34_0,195_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,2,from,0.053146059,1.503857777,2.22060697
196,1_9.2_1_9.2_0.34_0,196_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,2,from,0.103982645,1.531319086,1.724957484
197,1_9.2_1_9.2_0.34_0,197_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,2,from,0.081691083,1.53161072,1.395099694
198,1_9.2_1_9.2_0.34_0,198_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,2,from,0.140709253,1.533384367,1.910299223
199,1_9.2_1_9.2_0.34_0,199_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,2,from,0.036556427,1.442370803,1.608010776
201,1_9.2_1_9.2_0.34_0,201_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,2,from,0.094225529,1.524970208,1.235652924
195,1_9.2_1_9.2_-0.34_0,195_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,2,to,-0.093132321,1.511119813,2.18392045
196,1_9.2_1_9.2_-0.34_0,196_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,2,to,0.044304418,1.497977694,2.135314652
197,1_9.2_1_9.2_-0.34_0,197_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,2,to,-0.006131012,1.540230872,2.365053032
198,1_9.2_1_9.2_-0.34_0,198_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,2,to,0.08394829,1.532214613,2.208985779
199,1_9.2_1_9.2_-0.34_0,199_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,2,to,0.11690374,1.537062235,0.861460319
201,1_9.2_1_9.2_-0.34_0,201_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,2,to,0.084723277,1.518401691,1.86113208
195,1_9.2_1_9.2_0_-0.34,195_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,2,to,0.020752916,1.525305548,1.995754715
196,1_9.2_1_9.2_0_-0.34,196_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,2,to,0.011704048,1.4922436,2.76103041
197,1_9.2_1_9.2_0_-0.34,197_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,2,to,-0.046472927,1.52488009,2.149645514
198,1_9.2_1_9.2_0_-0.34,198_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,2,to,0.016505866,1.544289121,1.560971695
199,1_9.2_1_9.2_0_-0.34,199_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,2,to,0.01595411,1.527444435,1.577815884
201,1_9.2_1_9.2_0_-0.34,201_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,2,to,-0.070054132,1.534544463,1.503739537
195,1_9.2_1_9.2_0_0,195_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,2,to,-0.051367753,1.522160009,2.063866134
196,1_9.2_1_9.2_0_0,196_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,2,to,0.113986142,1.530247007,2.026355461
197,1_9.2_1_9.2_0_0,197_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,2,to,-0.007924757,1.532967889,1.943835217
198,1_9.2_1_9.2_0_0,198_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,2,to,0.100341171,1.52451731,2.457034323
199,1_9.2_1_9.2_0_0,199_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,2,to,-0.012765252,1.512017231,2.120281377
201,1_9.2_1_9.2_0_0,201_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,2,to,-0.042625936,1.519425984,1.918460255
195,1_9.2_1_9.2_0_0.34,195_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,2,to,-0.000324938,1.507322765,2.352591264
196,1_9.2_1_9.2_0_0.34,196_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,2,to,0.026178751,1.524997125,2.822614842
197,1_9.2_1_9.2_0_0.34,197_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,2,to,-0.011279169,1.539042501,1.636226724
198,1_9.2_1_9.2_0_0.34,198_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,2,to,0.053958041,1.523070604,2.168004181
199,1_9.2_1_9.2_0_0.34,199_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,2,to,-0.006979963,1.539223257,1.636765318
201,1_9.2_1_9.2_0_0.34,201_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,2,to,-0.038954882,1.532679378,1.854954792
195,1_9.2_1_9.2_0.34_0,195_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,2,to,-0.055263676,1.511213299,2.433726369
196,1_9.2_1_9.2_0.34_0,196_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,2,to,0.011362196,1.538313092,1.409535726
197,1_9.2_1_9.2_0.34_0,197_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,2,to,0.073084135,1.535174231,1.491273232
198,1_9.2_1_9.2_0.34_0,198_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,2,to,0.092538667,1.530246043,2.144025888
199,1_9.2_1_9.2_0.34_0,199_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,2,to,0.034965223,1.513587192,1.398420566
201,1_9.2_1_9.2_0.34_0,201_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,2,to,0.069291629,1.526719511,1.708931685
195,1_9.2_1_9.2_-0.34_0,195_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,3,from,0.014965331,1.489613017,2.110050723
196,1_9.2_1_9.2_-0.34_0,196_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,3,from,0.060900269,1.515844991,1.957687702
197,1_9.2_1_9.2_-0.34_0,197_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,3,from,0.070173569,1.537275238,1.562472226
198,1_9.2_1_9.2_-0.34_0,198_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,3,from,0.101652747,1.519809003,1.988539372
199,1_9.2_1_9.2_-0.34_0,199_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,3,from,0.107760125,1.516891636,1.259237658
201,1_9.2_1_9.2_-0.34_0,201_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,3,from,0.002605138,1.540199559,2.422031406
195,1_9.2_1_9.2_0_-0.34,195_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,3,from,0.072231118,1.506597203,2.438630912
196,1_9.2_1_9.2_0_-0.34,196_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,3,from,0.065729208,1.519906042,2.733847923
197,1_9.2_1_9.2_0_-0.34,197_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,3,from,0.113367301,1.540931858,1.639966408
198,1_9.2_1_9.2_0_-0.34,198_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,3,from,0.039246177,1.537799066,2.179672541
199,1_9.2_1_9.2_0_-0.34,199_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,3,from,0.020334003,1.415249886,2.160921674
201,1_9.2_1_9.2_0_-0.34,201_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,3,from,0.032457001,1.506598145,2.060793528
195,1_9.2_1_9.2_0_0,195_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,3,from,0.00882,1.514675471,2.405404264
196,1_9.2_1_9.2_0_0,196_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,3,from,0.067992218,1.511991667,1.85673465
197,1_9.2_1_9.2_0_0,197_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,3,from,0.053573905,1.533449022,1.483702996
198,1_9.2_1_9.2_0_0,198_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,3,from,0.10808597,1.529917333,2.403649236
199,1_9.2_1_9.2_0_0,199_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,3,from,0.050621266,1.482378705,1.56088418
201,1_9.2_1_9.2_0_0,201_1_9.2_1_9.2_0_0,ver,18.4,L 0 R 0,0,0,3,from,0.036444314,1.514185619,1.868282772
195,1_9.2_1_9.2_0_0.34,195_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,3,from,0.078207024,1.519903395,2.594637213
196,1_9.2_1_9.2_0_0.34,196_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,3,from,0.070566472,1.532402874,2.309930058
197,1_9.2_1_9.2_0_0.34,197_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,3,from,0.092812788,1.527605786,1.47276568
198,1_9.2_1_9.2_0_0.34,198_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,3,from,0.058166547,1.537163436,2.897432
199,1_9.2_1_9.2_0_0.34,199_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,3,from,0.033143483,1.534327868,1.338972354
201,1_9.2_1_9.2_0_0.34,201_1_9.2_1_9.2_0_0.34,ver,18.4,L 0 R 0.34,0,0.34,3,from,0.059646441,1.529088335,2.158074184
195,1_9.2_1_9.2_0.34_0,195_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,3,from,-0.030830862,1.506193229,1.833864435
196,1_9.2_1_9.2_0.34_0,196_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,3,from,0.081463612,1.533089245,1.555799023
197,1_9.2_1_9.2_0.34_0,197_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,3,from,0.090312633,1.536187009,1.789891056
198,1_9.2_1_9.2_0.34_0,198_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,3,from,0.127475536,1.520388101,2.219380444
199,1_9.2_1_9.2_0.34_0,199_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,3,from,0.077913792,1.502185692,1.544106773
201,1_9.2_1_9.2_0.34_0,201_1_9.2_1_9.2_0.34_0,ver,18.4,L 0.34 R 0,0.34,0,3,from,0.121550683,1.532355408,2.61699319
195,1_9.2_1_9.2_-0.34_0,195_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,3,to,-0.036096416,1.519122613,2.210491797
196,1_9.2_1_9.2_-0.34_0,196_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,3,to,0.044116977,1.494726173,2.198735903
197,1_9.2_1_9.2_-0.34_0,197_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,3,to,-0.042743072,1.536844477,2.178285972
198,1_9.2_1_9.2_-0.34_0,198_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,3,to,0.009290542,1.538338374,2.064489591
199,1_9.2_1_9.2_-0.34_0,199_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,3,to,0.077784522,1.534797258,1.379854681
201,1_9.2_1_9.2_-0.34_0,201_1_9.2_1_9.2_-0.34_0,ver,18.4,L -0.34 R 0,-0.34,0,3,to,0.107403836,1.5375986,1.895187666
195,1_9.2_1_9.2_0_-0.34,195_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,3,to,-0.035292033,1.525255934,1.704936145
196,1_9.2_1_9.2_0_-0.34,196_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,3,to,0.020928604,1.515199405,2.447271493
197,1_9.2_1_9.2_0_-0.34,197_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,3,to,-0.057257751,1.529731241,1.674728188
198,1_9.2_1_9.2_0_-0.34,198_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,3,to,0.068604836,1.544995825,1.710809468
199,1_9.2_1_9.2_0_-0.34,199_1_9.2_1_9.2_0_-0.34,ver,18.4,L 0 R -0.34,0,-0.34,3,to,0.010979556,1.511587608,1.56300708
