birdID,treatmentID,bird.treatment.block,left.grating.orientation,L.grating.period,R.grating.period,side.small.period,replicate,to.from.feeder,avg.y.position,avg.x.velocity
195,0_9.2_0_1.15_0_0,195_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,1,to,0.043007484,2.239976648
196,0_9.2_0_1.15_0_0,196_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,1,to,0.088358152,1.601897637
197,0_9.2_0_1.15_0_0,197_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,1,to,0.018046433,1.925393032
198,0_9.2_0_1.15_0_0,198_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,1,to,0.034608305,1.871033717
199,0_9.2_0_1.15_0_0,199_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,1,to,0.055713232,1.709359019
201,0_9.2_0_1.15_0_0,201_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,1,to,0.019387489,1.820850064
195,1_1.15_1_9.2_0_0,195_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,1,to,-0.117795797,2.228169384
196,1_1.15_1_9.2_0_0,196_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,1,to,-0.023012114,2.048204356
197,1_1.15_1_9.2_0_0,197_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,1,to,0.030092376,1.384270863
198,1_1.15_1_9.2_0_0,198_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,1,to,0.057706723,1.912443518
199,1_1.15_1_9.2_0_0,199_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,1,to,-0.004480853,1.558860135
201,1_1.15_1_9.2_0_0,201_1_1.15_1_9.2_0_0,ver,2.3,18.4,L,1,to,0.04157287,1.30364208
195,1_9.2_1_1.15_0_0,195_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,1,to,-0.048145634,1.826724464
196,1_9.2_1_1.15_0_0,196_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,1,to,0.080123607,1.506471371
197,1_9.2_1_1.15_0_0,197_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,1,to,0.062237178,1.332846575
198,1_9.2_1_1.15_0_0,198_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,1,to,0.117657411,1.568912997
199,1_9.2_1_1.15_0_0,199_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,1,to,-0.008009604,1.314640863
201,1_9.2_1_1.15_0_0,201_1_9.2_1_1.15_0_0,ver,18.4,2.3,R,1,to,-0.032839609,1.531643265
195,0_1.15_0_9.2_0_0,195_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,2,from,-0.064862302,1.538888588
196,0_1.15_0_9.2_0_0,196_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,2,from,-0.058035974,1.717368062
197,0_1.15_0_9.2_0_0,197_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,2,from,-0.040080655,1.661291044
198,0_1.15_0_9.2_0_0,198_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,2,from,-0.040637831,1.671391497
199,0_1.15_0_9.2_0_0,199_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,2,from,-0.069203183,1.862873123
201,0_1.15_0_9.2_0_0,201_0_1.15_0_9.2_0_0,hor,2.3,18.4,L,2,from,-0.067772341,1.977172402
195,0_9.2_0_1.15_0_0,195_0_9.2_0_1.15_0_0,hor,18.4,2.3,R,2,from,-0.004894114,2.125713887
