bird,trialID,videoID,performance.metric,solo.competition,treatment,no.maneuvers,avg.performance,wing.length,wing.area,aspect.ratio,body.mass,mass.lifted,capture.group,capture.day.of.year,trial.day.of.year,days.after
trans_04,trans_04_comp_air,151240,arc_rad,comp,sea level,209,0.634353012,51.368,1377.612,7.666,4.82,7.24,group2,226,296,70
trans_04,trans_04_comp_elev,102513,arc_rad,comp,elev,187,0.463835209,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_comp_elev,165519,arc_rad,comp,elev,112,0.394023794,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_solo_air,153909,arc_rad,solo,sea level,236,0.856615169,51.368,1377.612,7.666,4.82,7.24,group2,226,288,62
trans_04,trans_04_solo_elev,90720,arc_rad,solo,elev,90,0.490303549,51.368,1377.612,7.666,4.82,7.24,group2,226,244,18
trans_05,trans_05_comp_air,151755,arc_rad,comp,sea level,138,0.664292822,49.114,1236.092,7.806,5.58,5.66,group2,226,293,67
trans_05,trans_05_comp_air,164959,arc_rad,comp,sea level,65,0.419292156,49.114,1236.092,7.806,5.58,5.66,group2,226,304,78
trans_05,trans_05_comp_elev,143405,arc_rad,comp,elev,82,0.457493615,49.114,1236.092,7.806,5.58,5.66,group2,226,248,22
trans_05,trans_05_comp_elev,155833,arc_rad,comp,elev,46,0.435347992,49.114,1236.092,7.806,5.58,5.66,group2,226,246,20
trans_05,trans_05_solo_air,180458,arc_rad,solo,sea level,37,0.75104606,49.114,1236.092,7.806,5.58,5.66,group2,226,288,62
trans_05,trans_05_solo_elev,112811,arc_rad,solo,elev,241,0.252717749,49.114,1236.092,7.806,5.58,5.66,group2,226,244,18
trans_06,trans_06_comp_air,111439,arc_rad,comp,sea level,88,0.630879736,49.866,1244.506,7.993,4.58,6.75,group2,226,294,68
trans_06,trans_06_comp_air,150428,arc_rad,comp,sea level,47,0.600465097,49.866,1244.506,7.993,4.58,6.75,group2,226,300,74
trans_06,trans_06_comp_elev,120448,arc_rad,comp,elev,153,0.463578155,49.866,1244.506,7.993,4.58,6.75,group2,226,248,22
trans_06,trans_06_comp_elev,143405,arc_rad,comp,elev,298,0.413781494,49.866,1244.506,7.993,4.58,6.75,group2,226,248,22
trans_06,trans_06_solo_air,173802,arc_rad,solo,sea level,22,0.590293274,49.866,1244.506,7.993,4.58,6.75,group2,226,287,61
trans_06,trans_06_solo_elev,140631,arc_rad,solo,elev,248,0.493020572,49.866,1244.506,7.993,4.58,6.75,group2,226,244,18
trans_07,trans_07_comp_air,151240,arc_rad,comp,sea level,179,0.50527673,47.869,1199.698,7.642,4.59,6.3,group2,226,296,70
trans_07,trans_07_comp_air,152503,arc_rad,comp,sea level,111,0.473673294,47.869,1199.698,7.642,4.59,6.3,group2,226,303,77
trans_07,trans_07_comp_elev,115234,arc_rad,comp,elev,183,0.609383825,47.869,1199.698,7.642,4.59,6.3,group2,226,246,20
trans_07,trans_07_comp_elev,124652,arc_rad,comp,elev,486,0.505482335,47.869,1199.698,7.642,4.59,6.3,group2,226,247,21
trans_07,trans_07_solo_air,145709,arc_rad,solo,sea level,50,0.271666319,47.869,1199.698,7.642,4.59,6.3,group2,226,287,61
trans_07,trans_07_solo_elev,164438,arc_rad,solo,elev,174,0.3514749,47.869,1199.698,7.642,4.59,6.3,group2,226,244,18
trans_08,trans_08_comp_air,150428,arc_rad,comp,sea level,17,0.568685268,46.803,1131.214,7.749,5.61,6,group2,226,300,74
trans_08,trans_08_comp_air,155232,arc_rad,comp,sea level,40,0.490888499,46.803,1131.214,7.749,5.61,6,group2,226,299,73
trans_08,trans_08_comp_elev,102513,arc_rad,comp,elev,467,0.460159309,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_comp_elev,124652,arc_rad,comp,elev,68,0.466908987,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_solo_air,120815,arc_rad,solo,sea level,403,0.58588266,46.803,1131.214,7.749,5.61,6,group2,226,287,61
trans_08,trans_08_solo_elev,92048,arc_rad,solo,elev,98,0.56068264,46.803,1131.214,7.749,5.61,6,group2,226,245,19
trans_01,trans_01_comp_air,151755,arc_vel,comp,sea level,149,1.84251809,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_comp_air,152503,arc_vel,comp,sea level,78,1.982247802,49.026,1270.923,7.585,4.4,6.05,group1,160,303,143
trans_01,trans_01_comp_elev,120448,arc_vel,comp,elev,89,1.358682715,49.026,1270.923,7.585,4.4,6.05,group1,160,248,88
trans_01,trans_01_comp_elev,165913,arc_vel,comp,elev,44,1.242828609,49.026,1270.923,7.585,4.4,6.05,group1,160,249,89
trans_01,trans_01_solo_air,111843,arc_vel,solo,sea level,98,1.911085269,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_solo_elev,111629,arc_vel,solo,elev,16,1.350170784,49.026,1270.923,7.585,4.4,6.05,group1,160,239,79
trans_02,trans_02_comp_air,111439,arc_vel,comp,sea level,178,1.72458206,49.914,1306.451,7.634,4.48,5.66,group1,168,294,126
trans_02,trans_02_comp_air,164959,arc_vel,comp,sea level,180,1.738969433,49.914,1306.451,7.634,4.48,5.66,group1,168,304,136
trans_02,trans_02_comp_elev,115234,arc_vel,comp,elev,75,1.6843963,49.914,1306.451,7.634,4.48,5.66,group1,168,246,78
trans_02,trans_02_comp_elev,165519,arc_vel,comp,elev,14,1.464756359,49.914,1306.451,7.634,4.48,5.66,group1,168,247,79
trans_02,trans_02_solo_air,173855,arc_vel,solo,sea level,31,1.558361983,49.914,1306.451,7.634,4.48,5.66,group1,168,292,124
trans_02,trans_02_solo_elev,135846,arc_vel,solo,elev,21,1.342101211,49.914,1306.451,7.634,4.48,5.66,group1,168,239,71
trans_03,trans_03_comp_air,120753,arc_vel,comp,sea level,199,1.930204415,45.76,1051.272,7.977,4.09,6.44,group1,168,300,132
trans_03,trans_03_comp_air,155232,arc_vel,comp,sea level,77,1.763957759,45.76,1051.272,7.977,4.09,6.44,group1,168,299,131
trans_03,trans_03_comp_elev,155833,arc_vel,comp,elev,39,1.606908129,45.76,1051.272,7.977,4.09,6.44,group1,168,246,78
trans_03,trans_03_comp_elev,165913,arc_vel,comp,elev,82,1.438104004,45.76,1051.272,7.977,4.09,6.44,group1,168,249,81
trans_03,trans_03_solo_air,165106,arc_vel,solo,sea level,181,1.480347036,45.76,1051.272,7.977,4.09,6.44,group1,168,298,130
trans_03,trans_03_solo_elev,162206,arc_vel,solo,elev,38,1.652689308,45.76,1051.272,7.977,4.09,6.44,group1,168,239,71
