bird,trialID,videoID,performance.metric,solo.competition,treatment,no.maneuvers,avg.performance,wing.length,wing.area,aspect.ratio,body.mass,mass.lifted,capture.group,capture.day.of.year,trial.day.of.year,days.after
trans_02,trans_02_solo_air,173855,PRT_time,solo,sea level,229,0.468973799,49.914,1306.451,7.634,4.48,5.66,group1,168,292,124
trans_02,trans_02_solo_elev,135846,PRT_time,solo,elev,19,0.436578947,49.914,1306.451,7.634,4.48,5.66,group1,168,239,71
trans_03,trans_03_comp_air,120753,PRT_time,comp,sea level,264,0.430606061,45.76,1051.272,7.977,4.09,6.44,group1,168,300,132
trans_03,trans_03_comp_air,155232,PRT_time,comp,sea level,269,0.468698885,45.76,1051.272,7.977,4.09,6.44,group1,168,299,131
trans_03,trans_03_comp_elev,155833,PRT_time,comp,elev,64,0.409921875,45.76,1051.272,7.977,4.09,6.44,group1,168,246,78
trans_03,trans_03_comp_elev,165913,PRT_time,comp,elev,262,0.463301527,45.76,1051.272,7.977,4.09,6.44,group1,168,249,81
trans_03,trans_03_solo_air,165106,PRT_time,solo,sea level,959,0.401673618,45.76,1051.272,7.977,4.09,6.44,group1,168,298,130
trans_03,trans_03_solo_elev,162206,PRT_time,solo,elev,174,0.461436782,45.76,1051.272,7.977,4.09,6.44,group1,168,239,71
trans_04,trans_04_comp_air,120753,PRT_time,comp,sea level,212,0.404103774,51.368,1377.612,7.666,4.82,7.24,group2,226,300,74
trans_04,trans_04_comp_air,151240,PRT_time,comp,sea level,321,0.438068536,51.368,1377.612,7.666,4.82,7.24,group2,226,296,70
trans_04,trans_04_comp_elev,102513,PRT_time,comp,elev,139,0.470359712,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_comp_elev,165519,PRT_time,comp,elev,144,0.382847222,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_solo_air,153909,PRT_time,solo,sea level,863,0.421506373,51.368,1377.612,7.666,4.82,7.24,group2,226,288,62
trans_04,trans_04_solo_elev,90720,PRT_time,solo,elev,1056,0.323020833,51.368,1377.612,7.666,4.82,7.24,group2,226,244,18
trans_05,trans_05_comp_air,151755,PRT_time,comp,sea level,533,0.427908068,49.114,1236.092,7.806,5.58,5.66,group2,226,293,67
trans_05,trans_05_comp_air,164959,PRT_time,comp,sea level,210,0.453357143,49.114,1236.092,7.806,5.58,5.66,group2,226,304,78
trans_05,trans_05_comp_elev,143405,PRT_time,comp,elev,125,0.42508,49.114,1236.092,7.806,5.58,5.66,group2,226,248,22
trans_05,trans_05_comp_elev,155833,PRT_time,comp,elev,136,0.460367647,49.114,1236.092,7.806,5.58,5.66,group2,226,246,20
trans_05,trans_05_solo_air,180458,PRT_time,solo,sea level,135,0.412888889,49.114,1236.092,7.806,5.58,5.66,group2,226,288,62
trans_05,trans_05_solo_elev,112811,PRT_time,solo,elev,418,0.389533493,49.114,1236.092,7.806,5.58,5.66,group2,226,244,18
trans_06,trans_06_comp_air,111439,PRT_time,comp,sea level,125,0.42916,49.866,1244.506,7.993,4.58,6.75,group2,226,294,68
trans_06,trans_06_comp_air,150428,PRT_time,comp,sea level,51,0.459215686,49.866,1244.506,7.993,4.58,6.75,group2,226,300,74
trans_06,trans_06_comp_elev,120448,PRT_time,comp,elev,308,0.421444805,49.866,1244.506,7.993,4.58,6.75,group2,226,248,22
trans_06,trans_06_comp_elev,143405,PRT_time,comp,elev,432,0.365717593,49.866,1244.506,7.993,4.58,6.75,group2,226,248,22
trans_06,trans_06_solo_air,173802,PRT_time,solo,sea level,64,0.47203125,49.866,1244.506,7.993,4.58,6.75,group2,226,287,61
trans_06,trans_06_solo_elev,140631,PRT_time,solo,elev,353,0.383852691,49.866,1244.506,7.993,4.58,6.75,group2,226,244,18
trans_07,trans_07_comp_air,151240,PRT_time,comp,sea level,552,0.459583333,47.869,1199.698,7.642,4.59,6.3,group2,226,296,70
trans_07,trans_07_comp_air,152503,PRT_time,comp,sea level,261,0.428544061,47.869,1199.698,7.642,4.59,6.3,group2,226,303,77
trans_07,trans_07_comp_elev,115234,PRT_time,comp,elev,172,0.390784884,47.869,1199.698,7.642,4.59,6.3,group2,226,246,20
trans_07,trans_07_comp_elev,124652,PRT_time,comp,elev,273,0.376996337,47.869,1199.698,7.642,4.59,6.3,group2,226,247,21
trans_07,trans_07_solo_air,145709,PRT_time,solo,sea level,210,0.429738095,47.869,1199.698,7.642,4.59,6.3,group2,226,287,61
trans_07,trans_07_solo_elev,164438,PRT_time,solo,elev,400,0.421225,47.869,1199.698,7.642,4.59,6.3,group2,226,244,18
trans_08,trans_08_comp_air,150428,PRT_time,comp,sea level,29,0.437931034,46.803,1131.214,7.749,5.61,6,group2,226,300,74
trans_08,trans_08_comp_air,155232,PRT_time,comp,sea level,110,0.470363636,46.803,1131.214,7.749,5.61,6,group2,226,299,73
trans_08,trans_08_comp_elev,102513,PRT_time,comp,elev,585,0.412735043,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_comp_elev,124652,PRT_time,comp,elev,77,0.398441558,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_solo_air,120815,PRT_time,solo,sea level,602,0.442375415,46.803,1131.214,7.749,5.61,6,group2,226,287,61
trans_08,trans_08_solo_elev,92048,PRT_time,solo,elev,156,0.493782051,46.803,1131.214,7.749,5.61,6,group2,226,245,19
trans_01,trans_01_comp_air,151755,vel,comp,sea level,1392,2.31049282,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_comp_air,152503,vel,comp,sea level,691,2.428925332,49.026,1270.923,7.585,4.4,6.05,group1,160,303,143
trans_01,trans_01_comp_elev,120448,vel,comp,elev,522,1.886815689,49.026,1270.923,7.585,4.4,6.05,group1,160,248,88
trans_01,trans_01_comp_elev,165913,vel,comp,elev,633,1.613303986,49.026,1270.923,7.585,4.4,6.05,group1,160,249,89
trans_01,trans_01_solo_air,111843,vel,solo,sea level,1911,2.465478209,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_solo_elev,111629,vel,solo,elev,165,1.717284198,49.026,1270.923,7.585,4.4,6.05,group1,160,239,79
trans_02,trans_02_comp_air,111439,vel,comp,sea level,1323,2.282409269,49.914,1306.451,7.634,4.48,5.66,group1,168,294,126
trans_02,trans_02_comp_air,164959,vel,comp,sea level,1751,2.09716969,49.914,1306.451,7.634,4.48,5.66,group1,168,304,136
trans_02,trans_02_comp_elev,115234,vel,comp,elev,506,2.142657382,49.914,1306.451,7.634,4.48,5.66,group1,168,246,78
trans_02,trans_02_comp_elev,165519,vel,comp,elev,191,1.754836381,49.914,1306.451,7.634,4.48,5.66,group1,168,247,79
trans_02,trans_02_solo_air,173855,vel,solo,sea level,818,1.930491692,49.914,1306.451,7.634,4.48,5.66,group1,168,292,124
trans_02,trans_02_solo_elev,135846,vel,solo,elev,786,1.103583837,49.914,1306.451,7.634,4.48,5.66,group1,168,239,71
trans_03,trans_03_comp_air,120753,vel,comp,sea level,1218,2.650000476,45.76,1051.272,7.977,4.09,6.44,group1,168,300,132
trans_03,trans_03_comp_air,155232,vel,comp,sea level,694,2.509761676,45.76,1051.272,7.977,4.09,6.44,group1,168,299,131
trans_03,trans_03_comp_elev,155833,vel,comp,elev,398,2.375554854,45.76,1051.272,7.977,4.09,6.44,group1,168,246,78
trans_03,trans_03_comp_elev,165913,vel,comp,elev,1074,1.892118855,45.76,1051.272,7.977,4.09,6.44,group1,168,249,81
trans_03,trans_03_solo_air,165106,vel,solo,sea level,1988,2.682018781,45.76,1051.272,7.977,4.09,6.44,group1,168,298,130
trans_03,trans_03_solo_elev,162206,vel,solo,elev,913,2.420137078,45.76,1051.272,7.977,4.09,6.44,group1,168,239,71
trans_04,trans_04_comp_air,120753,vel,comp,sea level,1460,2.705256726,51.368,1377.612,7.666,4.82,7.24,group2,226,300,74
trans_04,trans_04_comp_air,151240,vel,comp,sea level,1475,2.652034677,51.368,1377.612,7.666,4.82,7.24,group2,226,296,70
trans_04,trans_04_comp_elev,102513,vel,comp,elev,1491,2.07655137,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_comp_elev,165519,vel,comp,elev,673,2.25883814,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_solo_air,153909,vel,solo,sea level,2100,3.213917319,51.368,1377.612,7.666,4.82,7.24,group2,226,288,62
trans_04,trans_04_solo_elev,90720,vel,solo,elev,2677,2.363239298,51.368,1377.612,7.666,4.82,7.24,group2,226,244,18
trans_05,trans_05_comp_air,151755,vel,comp,sea level,1945,2.776235524,49.114,1236.092,7.806,5.58,5.66,group2,226,293,67
trans_05,trans_05_comp_air,164959,vel,comp,sea level,782,2.537787833,49.114,1236.092,7.806,5.58,5.66,group2,226,304,78
trans_05,trans_05_comp_elev,143405,vel,comp,elev,616,2.318363004,49.114,1236.092,7.806,5.58,5.66,group2,226,248,22
trans_05,trans_05_comp_elev,155833,vel,comp,elev,537,1.875796044,49.114,1236.092,7.806,5.58,5.66,group2,226,246,20
trans_05,trans_05_solo_air,180458,vel,solo,sea level,918,2.830394528,49.114,1236.092,7.806,5.58,5.66,group2,226,288,62
trans_05,trans_05_solo_elev,112811,vel,solo,elev,3269,2.745769431,49.114,1236.092,7.806,5.58,5.66,group2,226,244,18
trans_06,trans_06_comp_air,111439,vel,comp,sea level,676,2.779196745,49.866,1244.506,7.993,4.58,6.75,group2,226,294,68
trans_06,trans_06_comp_air,150428,vel,comp,sea level,345,2.982841981,49.866,1244.506,7.993,4.58,6.75,group2,226,300,74
trans_06,trans_06_comp_elev,120448,vel,comp,elev,1243,2.381105272,49.866,1244.506,7.993,4.58,6.75,group2,226,248,22
trans_06,trans_06_comp_elev,143405,vel,comp,elev,1597,2.553950883,49.866,1244.506,7.993,4.58,6.75,group2,226,248,22
trans_06,trans_06_solo_air,173802,vel,solo,sea level,469,2.647742338,49.866,1244.506,7.993,4.58,6.75,group2,226,287,61
trans_06,trans_06_solo_elev,140631,vel,solo,elev,1919,2.775917354,49.866,1244.506,7.993,4.58,6.75,group2,226,244,18
trans_07,trans_07_comp_air,151240,vel,comp,sea level,1734,2.351355015,47.869,1199.698,7.642,4.59,6.3,group2,226,296,70
trans_07,trans_07_comp_air,152503,vel,comp,sea level,893,2.729854858,47.869,1199.698,7.642,4.59,6.3,group2,226,303,77
trans_07,trans_07_comp_elev,115234,vel,comp,elev,1086,2.664573817,47.869,1199.698,7.642,4.59,6.3,group2,226,246,20
trans_07,trans_07_comp_elev,124652,vel,comp,elev,1388,2.733056049,47.869,1199.698,7.642,4.59,6.3,group2,226,247,21
trans_07,trans_07_solo_air,145709,vel,solo,sea level,1180,2.367518346,47.869,1199.698,7.642,4.59,6.3,group2,226,287,61
trans_07,trans_07_solo_elev,164438,vel,solo,elev,2232,2.513180166,47.869,1199.698,7.642,4.59,6.3,group2,226,244,18
trans_08,trans_08_comp_air,150428,vel,comp,sea level,247,2.604845819,46.803,1131.214,7.749,5.61,6,group2,226,300,74
trans_08,trans_08_comp_air,155232,vel,comp,sea level,474,2.494522963,46.803,1131.214,7.749,5.61,6,group2,226,299,73
trans_08,trans_08_comp_elev,102513,vel,comp,elev,2134,2.338210386,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_comp_elev,124652,vel,comp,elev,799,2.2180327,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_solo_air,120815,vel,solo,sea level,1853,3.403992047,46.803,1131.214,7.749,5.61,6,group2,226,287,61
trans_08,trans_08_solo_elev,92048,vel,solo,elev,1809,2.210722414,46.803,1131.214,7.749,5.61,6,group2,226,245,19
trans_01,trans_01_comp_air,151755,yaw,comp,sea level,168,1.538103405,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_comp_air,152503,yaw,comp,sea level,115,1.722125409,49.026,1270.923,7.585,4.4,6.05,group1,160,303,143
trans_01,trans_01_comp_elev,120448,yaw,comp,elev,36,1.494330125,49.026,1270.923,7.585,4.4,6.05,group1,160,248,88
trans_01,trans_01_comp_elev,165913,yaw,comp,elev,21,1.372180638,49.026,1270.923,7.585,4.4,6.05,group1,160,249,89
trans_01,trans_01_solo_air,111843,yaw,solo,sea level,213,1.630966181,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_solo_elev,111629,yaw,solo,elev,14,1.22096422,49.026,1270.923,7.585,4.4,6.05,group1,160,239,79
trans_02,trans_02_comp_air,111439,yaw,comp,sea level,531,1.430984499,49.914,1306.451,7.634,4.48,5.66,group1,168,294,126
trans_02,trans_02_comp_air,164959,yaw,comp,sea level,603,1.495100919,49.914,1306.451,7.634,4.48,5.66,group1,168,304,136
trans_02,trans_02_comp_elev,115234,yaw,comp,elev,105,1.275874562,49.914,1306.451,7.634,4.48,5.66,group1,168,246,78
trans_02,trans_02_comp_elev,165519,yaw,comp,elev,53,1.416257883,49.914,1306.451,7.634,4.48,5.66,group1,168,247,79
trans_02,trans_02_solo_air,173855,yaw,solo,sea level,194,1.329872313,49.914,1306.451,7.634,4.48,5.66,group1,168,292,124
trans_02,trans_02_solo_elev,135846,yaw,solo,elev,511,1.543325372,49.914,1306.451,7.634,4.48,5.66,group1,168,239,71
trans_03,trans_03_comp_air,120753,yaw,comp,sea level,90,1.560080399,45.76,1051.272,7.977,4.09,6.44,group1,168,300,132
trans_03,trans_03_comp_air,155232,yaw,comp,sea level,109,1.40421064,45.76,1051.272,7.977,4.09,6.44,group1,168,299,131
trans_03,trans_03_comp_elev,155833,yaw,comp,elev,59,1.378945168,45.76,1051.272,7.977,4.09,6.44,group1,168,246,78
trans_03,trans_03_comp_elev,165913,yaw,comp,elev,67,1.313055267,45.76,1051.272,7.977,4.09,6.44,group1,168,249,81
trans_03,trans_03_solo_air,165106,yaw,solo,sea level,115,1.548787303,45.76,1051.272,7.977,4.09,6.44,group1,168,298,130
trans_03,trans_03_solo_elev,162206,yaw,solo,elev,82,1.440457516,45.76,1051.272,7.977,4.09,6.44,group1,168,239,71
trans_04,trans_04_comp_air,120753,yaw,comp,sea level,141,1.772380105,51.368,1377.612,7.666,4.82,7.24,group2,226,300,74
trans_04,trans_04_comp_air,151240,yaw,comp,sea level,199,1.539594162,51.368,1377.612,7.666,4.82,7.24,group2,226,296,70
trans_04,trans_04_comp_elev,102513,yaw,comp,elev,160,1.510174576,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_comp_elev,165519,yaw,comp,elev,69,1.555305096,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_solo_air,153909,yaw,solo,sea level,121,1.482654612,51.368,1377.612,7.666,4.82,7.24,group2,226,288,62
trans_04,trans_04_solo_elev,90720,yaw,solo,elev,134,1.509407226,51.368,1377.612,7.666,4.82,7.24,group2,226,244,18
trans_05,trans_05_comp_air,151755,yaw,comp,sea level,142,1.575437429,49.114,1236.092,7.806,5.58,5.66,group2,226,293,67
trans_05,trans_05_comp_air,164959,yaw,comp,sea level,129,1.611666139,49.114,1236.092,7.806,5.58,5.66,group2,226,304,78
trans_05,trans_05_comp_elev,143405,yaw,comp,elev,90,1.490589395,49.114,1236.092,7.806,5.58,5.66,group2,226,248,22
trans_05,trans_05_comp_elev,155833,yaw,comp,elev,49,1.189243434,49.114,1236.092,7.806,5.58,5.66,group2,226,246,20
trans_05,trans_05_solo_air,180458,yaw,solo,sea level,176,1.493029806,49.114,1236.092,7.806,5.58,5.66,group2,226,288,62
trans_05,trans_05_solo_elev,112811,yaw,solo,elev,159,1.489700263,49.114,1236.092,7.806,5.58,5.66,group2,226,244,18
trans_06,trans_06_comp_air,111439,yaw,comp,sea level,107,1.628199858,49.866,1244.506,7.993,4.58,6.75,group2,226,294,68
trans_06,trans_06_comp_air,150428,yaw,comp,sea level,50,1.595363315,49.866,1244.506,7.993,4.58,6.75,group2,226,300,74
trans_06,trans_06_comp_elev,120448,yaw,comp,elev,119,1.377977433,49.866,1244.506,7.993,4.58,6.75,group2,226,248,22
trans_06,trans_06_comp_elev,143405,yaw,comp,elev,85,1.555541894,49.866,1244.506,7.993,4.58,6.75,group2,226,248,22
trans_06,trans_06_solo_air,173802,yaw,solo,sea level,98,1.387383791,49.866,1244.506,7.993,4.58,6.75,group2,226,287,61
trans_06,trans_06_solo_elev,140631,yaw,solo,elev,65,1.441801183,49.866,1244.506,7.993,4.58,6.75,group2,226,244,18
trans_07,trans_07_comp_air,151240,yaw,comp,sea level,275,1.704035215,47.869,1199.698,7.642,4.59,6.3,group2,226,296,70
trans_07,trans_07_comp_air,152503,yaw,comp,sea level,129,1.734075023,47.869,1199.698,7.642,4.59,6.3,group2,226,303,77
trans_07,trans_07_comp_elev,115234,yaw,comp,elev,110,1.600952976,47.869,1199.698,7.642,4.59,6.3,group2,226,246,20
trans_07,trans_07_comp_elev,124652,yaw,comp,elev,85,1.651273702,47.869,1199.698,7.642,4.59,6.3,group2,226,247,21
trans_07,trans_07_solo_air,145709,yaw,solo,sea level,183,1.769938884,47.869,1199.698,7.642,4.59,6.3,group2,226,287,61
trans_07,trans_07_solo_elev,164438,yaw,solo,elev,197,1.603686073,47.869,1199.698,7.642,4.59,6.3,group2,226,244,18
trans_08,trans_08_comp_air,150428,yaw,comp,sea level,54,1.556391289,46.803,1131.214,7.749,5.61,6,group2,226,300,74
trans_08,trans_08_comp_air,155232,yaw,comp,sea level,83,1.488415033,46.803,1131.214,7.749,5.61,6,group2,226,299,73
trans_08,trans_08_comp_elev,102513,yaw,comp,elev,144,1.610364162,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_comp_elev,124652,yaw,comp,elev,69,1.57290308,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_solo_air,120815,yaw,solo,sea level,177,1.504293857,46.803,1131.214,7.749,5.61,6,group2,226,287,61
trans_08,trans_08_solo_elev,92048,yaw,solo,elev,217,1.472185884,46.803,1131.214,7.749,5.61,6,group2,226,245,19
trans_01,trans_01_comp_air,151755,PRT_percent,comp,sea level,NA,71.72675522,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_comp_air,152503,PRT_percent,comp,sea level,NA,71.32352941,49.026,1270.923,7.585,4.4,6.05,group1,160,303,143
trans_01,trans_01_comp_elev,120448,PRT_percent,comp,elev,NA,47.64705882,49.026,1270.923,7.585,4.4,6.05,group1,160,248,88
trans_01,trans_01_comp_elev,165913,PRT_percent,comp,elev,NA,64.8,49.026,1270.923,7.585,4.4,6.05,group1,160,249,89
trans_01,trans_01_solo_air,111843,PRT_percent,solo,sea level,NA,89.57446809,49.026,1270.923,7.585,4.4,6.05,group1,160,293,133
trans_01,trans_01_solo_elev,111629,PRT_percent,solo,elev,NA,64.44444444,49.026,1270.923,7.585,4.4,6.05,group1,160,239,79
trans_02,trans_02_comp_air,111439,PRT_percent,comp,sea level,NA,65.02946955,49.914,1306.451,7.634,4.48,5.66,group1,168,294,126
trans_02,trans_02_comp_air,164959,PRT_percent,comp,sea level,NA,70.14925373,49.914,1306.451,7.634,4.48,5.66,group1,168,304,136
trans_02,trans_02_comp_elev,115234,PRT_percent,comp,elev,NA,46.80851064,49.914,1306.451,7.634,4.48,5.66,group1,168,246,78
trans_02,trans_02_comp_elev,165519,PRT_percent,comp,elev,NA,57.57575758,49.914,1306.451,7.634,4.48,5.66,group1,168,247,79
trans_02,trans_02_solo_air,173855,PRT_percent,solo,sea level,NA,88.12260536,49.914,1306.451,7.634,4.48,5.66,group1,168,292,124
trans_02,trans_02_solo_elev,135846,PRT_percent,solo,elev,NA,47.5,49.914,1306.451,7.634,4.48,5.66,group1,168,239,71
trans_03,trans_03_comp_air,120753,PRT_percent,comp,sea level,NA,57.01943844,45.76,1051.272,7.977,4.09,6.44,group1,168,300,132
trans_03,trans_03_comp_air,155232,PRT_percent,comp,sea level,NA,77.74566474,45.76,1051.272,7.977,4.09,6.44,group1,168,299,131
trans_03,trans_03_comp_elev,155833,PRT_percent,comp,elev,NA,62.13592233,45.76,1051.272,7.977,4.09,6.44,group1,168,246,78
trans_03,trans_03_comp_elev,165913,PRT_percent,comp,elev,NA,76.1627907,45.76,1051.272,7.977,4.09,6.44,group1,168,249,81
trans_03,trans_03_solo_air,165106,PRT_percent,solo,sea level,NA,84.13672217,45.76,1051.272,7.977,4.09,6.44,group1,168,298,130
trans_03,trans_03_solo_elev,162206,PRT_percent,solo,elev,NA,82.0754717,45.76,1051.272,7.977,4.09,6.44,group1,168,239,71
trans_04,trans_04_comp_air,120753,PRT_percent,comp,sea level,NA,54.08163265,51.368,1377.612,7.666,4.82,7.24,group2,226,300,74
trans_04,trans_04_comp_air,151240,PRT_percent,comp,sea level,NA,60.64030132,51.368,1377.612,7.666,4.82,7.24,group2,226,296,70
trans_04,trans_04_comp_elev,102513,PRT_percent,comp,elev,NA,42.63803681,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_comp_elev,165519,PRT_percent,comp,elev,NA,56.25,51.368,1377.612,7.666,4.82,7.24,group2,226,247,21
trans_04,trans_04_solo_air,153909,PRT_percent,solo,sea level,NA,78.52593267,51.368,1377.612,7.666,4.82,7.24,group2,226,288,62
trans_04,trans_04_solo_elev,90720,PRT_percent,solo,elev,NA,92.15344377,51.368,1377.612,7.666,4.82,7.24,group2,226,244,18
trans_05,trans_05_comp_air,151755,PRT_percent,comp,sea level,NA,79.46428571,49.114,1236.092,7.806,5.58,5.66,group2,226,293,67
trans_05,trans_05_comp_air,164959,PRT_percent,comp,sea level,NA,76.36363636,49.114,1236.092,7.806,5.58,5.66,group2,226,304,78
trans_05,trans_05_comp_elev,143405,PRT_percent,comp,elev,NA,60.38647343,49.114,1236.092,7.806,5.58,5.66,group2,226,248,22
trans_05,trans_05_comp_elev,155833,PRT_percent,comp,elev,NA,74.86338798,49.114,1236.092,7.806,5.58,5.66,group2,226,246,20
trans_05,trans_05_solo_air,180458,PRT_percent,solo,sea level,NA,78.48837209,49.114,1236.092,7.806,5.58,5.66,group2,226,288,62
trans_05,trans_05_solo_elev,112811,PRT_percent,solo,elev,NA,63.42943854,49.114,1236.092,7.806,5.58,5.66,group2,226,244,18
trans_06,trans_06_comp_air,111439,PRT_percent,comp,sea level,NA,58.68544601,49.866,1244.506,7.993,4.58,6.75,group2,226,294,68
trans_06,trans_06_comp_air,150428,PRT_percent,comp,sea level,NA,52.04081633,49.866,1244.506,7.993,4.58,6.75,group2,226,300,74
trans_06,trans_06_comp_elev,120448,PRT_percent,comp,elev,NA,66.81127983,49.866,1244.506,7.993,4.58,6.75,group2,226,248,22
trans_06,trans_06_comp_elev,143405,PRT_percent,comp,elev,NA,59.17808219,49.866,1244.506,7.993,4.58,6.75,group2,226,248,22
trans_06,trans_06_solo_air,173802,PRT_percent,solo,sea level,NA,74.71264368,49.866,1244.506,7.993,4.58,6.75,group2,226,287,61
trans_06,trans_06_solo_elev,140631,PRT_percent,solo,elev,NA,58.73544093,49.866,1244.506,7.993,4.58,6.75,group2,226,244,18
trans_07,trans_07_comp_air,151240,PRT_percent,comp,sea level,NA,75.5129959,47.869,1199.698,7.642,4.59,6.3,group2,226,296,70
trans_07,trans_07_comp_air,152503,PRT_percent,comp,sea level,NA,70.16129032,47.869,1199.698,7.642,4.59,6.3,group2,226,303,77
trans_07,trans_07_comp_elev,115234,PRT_percent,comp,elev,NA,48.45070423,47.869,1199.698,7.642,4.59,6.3,group2,226,246,20
trans_07,trans_07_comp_elev,124652,PRT_percent,comp,elev,NA,35.96837945,47.869,1199.698,7.642,4.59,6.3,group2,226,247,21
trans_07,trans_07_solo_air,145709,PRT_percent,solo,sea level,NA,80.76923077,47.869,1199.698,7.642,4.59,6.3,group2,226,287,61
trans_07,trans_07_solo_elev,164438,PRT_percent,solo,elev,NA,69.68641115,47.869,1199.698,7.642,4.59,6.3,group2,226,244,18
trans_08,trans_08_comp_air,150428,PRT_percent,comp,sea level,NA,63.04347826,46.803,1131.214,7.749,5.61,6,group2,226,300,74
trans_08,trans_08_comp_air,155232,PRT_percent,comp,sea level,NA,73.50993377,46.803,1131.214,7.749,5.61,6,group2,226,299,73
trans_08,trans_08_comp_elev,102513,PRT_percent,comp,elev,NA,55.65052232,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_comp_elev,124652,PRT_percent,comp,elev,NA,53.10344828,46.803,1131.214,7.749,5.61,6,group2,226,247,21
trans_08,trans_08_solo_air,120815,PRT_percent,solo,sea level,NA,59.90049751,46.803,1131.214,7.749,5.61,6,group2,226,287,61
trans_08,trans_08_solo_elev,92048,PRT_percent,solo,elev,NA,61.41732283,46.803,1131.214,7.749,5.61,6,group2,226,245,19
