bird,trialID,videoID,performance.metric,solo.competition,treatment,no.maneuvers,avg.performance,wing.length,wing.area,aspect.ratio,body.mass,mass.lifted,trial.day.of.year,capture.day.of.year,days.after
gas_14,gas_14_solo_air,131718,hor_accel,solo,air,960,3.975591699,53.641,1524.945,7.557,4.75,5.27,103,79,24
gas_14,gas_14_solo_hel,105012,hor_accel,solo,hel,193,3.771257767,53.641,1524.945,7.557,4.75,5.27,110,79,31
gas_14,gas_14_solo_nit,94017,hor_accel,solo,nit,995,5.321849434,53.641,1524.945,7.557,4.75,5.27,111,79,32
gas_15,gas_15_comp_air,151007,hor_accel,comp,air,611,5.683157605,52.132,1483.544,7.345,4.44,6.44,108,83,25
gas_15,gas_15_comp_hel,154017,hor_accel,comp,hel,396,4.824158459,52.132,1483.544,7.345,4.44,6.44,110,83,27
gas_15,gas_15_comp_nit,162119,hor_accel,comp,nit,489,4.108865357,52.132,1483.544,7.345,4.44,6.44,106,83,23
gas_15,gas_15_solo_air,105650,hor_accel,solo,air,1266,6.554103495,52.132,1483.544,7.345,4.44,6.44,108,83,25
gas_15,gas_15_solo_hel,132922,hor_accel,solo,hel,746,6.378289298,52.132,1483.544,7.345,4.44,6.44,110,83,27
gas_15,gas_15_solo_nit,140658,hor_accel,solo,nit,670,4.614281924,52.132,1483.544,7.345,4.44,6.44,106,83,23
gas_16,gas_16_comp_air,151007,hor_accel,comp,air,696,4.874083317,53.521,1559.219,7.366,4.69,6.44,108,84,24
gas_16,gas_16_comp_hel,171657,hor_accel,comp,hel,1088,3.543022882,53.521,1559.219,7.366,4.69,6.44,107,84,23
gas_16,gas_16_comp_nit,114839,hor_accel,comp,nit,2060,5.997770415,53.521,1559.219,7.366,4.69,6.44,111,84,27
gas_16,gas_16_solo_air,130557,hor_accel,solo,air,1020,5.036745619,53.521,1559.219,7.366,4.69,6.44,108,84,24
gas_16,gas_16_solo_hel,150949,hor_accel,solo,hel,756,3.71460218,53.521,1559.219,7.366,4.69,6.44,107,84,23
gas_16,gas_16_solo_nit,140234,hor_accel,solo,nit,604,4.159808601,53.521,1559.219,7.366,4.69,6.44,111,84,27
gas_09,gas_09_comp_air,163920,hor_decel,comp,air,498,5.023197082,51.623,1495.753,7.127,4.5,7.22,51,24,27
gas_09,gas_09_comp_hel,111200,hor_decel,comp,hel,807,3.833402891,51.623,1495.753,7.127,4.5,7.22,59,24,35
gas_09,gas_09_comp_nit,165423,hor_decel,comp,nit,832,4.183106829,51.623,1495.753,7.127,4.5,7.22,54,24,30
gas_09,gas_09_solo_air,143321,hor_decel,solo,air,613,5.373443956,51.623,1495.753,7.127,4.5,7.22,51,24,27
gas_09,gas_09_solo_hel,101810,hor_decel,solo,hel,333,3.927091027,51.623,1495.753,7.127,4.5,7.22,55,24,31
gas_09,gas_09_solo_nit,120052,hor_decel,solo,nit,228,5.46213689,51.623,1495.753,7.127,4.5,7.22,52,24,28
gas_10,gas_10_comp_air,163920,hor_decel,comp,air,717,3.633287805,52.871,1428.777,7.833,4.37,4.88,51,-20,71
gas_10,gas_10_comp_hel,122813,hor_decel,comp,hel,212,3.963525726,52.871,1428.777,7.833,4.37,4.88,56,-20,76
gas_10,gas_10_comp_nit,125257,hor_decel,comp,nit,357,3.499509662,52.871,1428.777,7.833,4.37,4.88,60,-20,80
gas_10,gas_10_solo_air,150149,hor_decel,solo,air,930,3.271377399,52.871,1428.777,7.833,4.37,4.88,56,-20,76
gas_10,gas_10_solo_hel,175929,hor_decel,solo,hel,655,3.934846044,52.871,1428.777,7.833,4.37,4.88,52,-20,72
gas_10,gas_10_solo_nit,95516,hor_decel,solo,nit,240,3.963809297,52.871,1428.777,7.833,4.37,4.88,57,-20,77
gas_11,gas_11_comp_air,94818,hor_decel,comp,air,2723,5.232812636,55.445,1620.07,7.593,4.62,5.66,61,51,10
gas_11,gas_11_comp_hel,122813,hor_decel,comp,hel,1013,4.156053641,55.445,1620.07,7.593,4.62,5.66,56,51,5
gas_11,gas_11_comp_nit,165423,hor_decel,comp,nit,3367,4.680356162,55.445,1620.07,7.593,4.62,5.66,54,51,3
gas_11,gas_11_solo_air,102128,hor_decel,solo,air,2728,5.460090448,55.445,1620.07,7.593,4.62,5.66,58,51,7
gas_11,gas_11_solo_hel,101822,hor_decel,solo,hel,1728,4.136463437,55.445,1620.07,7.593,4.62,5.66,56,51,5
gas_11,gas_11_solo_nit,144922,hor_decel,solo,nit,1846,4.737702151,55.445,1620.07,7.593,4.62,5.66,54,51,3
gas_12,gas_12_comp_air,94818,hor_decel,comp,air,384,3.684881131,54.228,1653.012,7.13,4.63,5.66,61,58,3
gas_12,gas_12_comp_hel,111200,hor_decel,comp,hel,3012,2.666829797,54.228,1653.012,7.13,4.63,5.66,59,58,1
gas_12,gas_12_comp_nit,125257,hor_decel,comp,nit,557,3.451816691,54.228,1653.012,7.13,4.63,5.66,60,58,2
gas_12,gas_12_solo_air,153221,hor_decel,solo,air,1051,3.462594633,54.228,1653.012,7.13,4.63,5.66,60,58,2
gas_12,gas_12_solo_hel,90835,hor_decel,solo,hel,857,2.61894165,54.228,1653.012,7.13,4.63,5.66,59,58,1
gas_12,gas_12_solo_nit,103554,hor_decel,solo,nit,2105,2.913302508,54.228,1653.012,7.13,4.63,5.66,60,58,2
gas_13,gas_13_comp_air,152808,hor_decel,comp,air,626,3.708440352,52.549,1518.295,7.278,4.23,6.44,103,79,24
gas_13,gas_13_comp_hel,171657,hor_decel,comp,hel,843,3.544099488,52.549,1518.295,7.278,4.23,6.44,107,79,28
gas_13,gas_13_comp_nit,162119,hor_decel,comp,nit,839,4.472868764,52.549,1518.295,7.278,4.23,6.44,106,79,27
gas_13,gas_13_solo_air,105234,hor_decel,solo,air,644,3.677513245,52.549,1518.295,7.278,4.23,6.44,103,79,24
gas_13,gas_13_solo_hel,111302,hor_decel,solo,hel,899,4.642069264,52.549,1518.295,7.278,4.23,6.44,107,79,28
gas_13,gas_13_solo_nit,102148,hor_decel,solo,nit,903,4.21667503,52.549,1518.295,7.278,4.23,6.44,106,79,27
gas_14,gas_14_comp_air,152808,hor_decel,comp,air,1309,3.594766875,53.641,1524.945,7.557,4.75,5.27,103,79,24
gas_14,gas_14_comp_hel,154017,hor_decel,comp,hel,346,3.541400232,53.641,1524.945,7.557,4.75,5.27,110,79,31
gas_14,gas_14_comp_nit,114839,hor_decel,comp,nit,533,4.898231831,53.641,1524.945,7.557,4.75,5.27,111,79,32
gas_14,gas_14_solo_air,131718,hor_decel,solo,air,1070,3.660256191,53.641,1524.945,7.557,4.75,5.27,103,79,24
gas_14,gas_14_solo_hel,105012,hor_decel,solo,hel,182,3.679644926,53.641,1524.945,7.557,4.75,5.27,110,79,31
gas_14,gas_14_solo_nit,94017,hor_decel,solo,nit,1162,5.285071559,53.641,1524.945,7.557,4.75,5.27,111,79,32
gas_15,gas_15_comp_air,151007,hor_decel,comp,air,664,5.325481615,52.132,1483.544,7.345,4.44,6.44,108,83,25
gas_15,gas_15_comp_hel,154017,hor_decel,comp,hel,438,4.617618584,52.132,1483.544,7.345,4.44,6.44,110,83,27
gas_15,gas_15_comp_nit,162119,hor_decel,comp,nit,555,4.024391088,52.132,1483.544,7.345,4.44,6.44,106,83,23
gas_15,gas_15_solo_air,105650,hor_decel,solo,air,1431,6.148623651,52.132,1483.544,7.345,4.44,6.44,108,83,25
gas_15,gas_15_solo_hel,132922,hor_decel,solo,hel,804,6.092775973,52.132,1483.544,7.345,4.44,6.44,110,83,27
gas_15,gas_15_solo_nit,140658,hor_decel,solo,nit,737,4.720565699,52.132,1483.544,7.345,4.44,6.44,106,83,23
gas_16,gas_16_comp_air,151007,hor_decel,comp,air,756,5.457997603,53.521,1559.219,7.366,4.69,6.44,108,84,24
gas_16,gas_16_comp_hel,171657,hor_decel,comp,hel,1086,3.878311279,53.521,1559.219,7.366,4.69,6.44,107,84,23
gas_16,gas_16_comp_nit,114839,hor_decel,comp,nit,2394,5.799600524,53.521,1559.219,7.366,4.69,6.44,111,84,27
gas_16,gas_16_solo_air,130557,hor_decel,solo,air,1166,5.685055844,53.521,1559.219,7.366,4.69,6.44,108,84,24
gas_16,gas_16_solo_hel,150949,hor_decel,solo,hel,755,3.758071499,53.521,1559.219,7.366,4.69,6.44,107,84,23
gas_16,gas_16_solo_nit,140234,hor_decel,solo,nit,646,5.008511339,53.521,1559.219,7.366,4.69,6.44,111,84,27
gas_09,gas_09_comp_air,163920,pitch_up,comp,air,253,1.156263629,51.623,1495.753,7.127,4.5,7.22,51,24,27
gas_09,gas_09_comp_hel,111200,pitch_up,comp,hel,118,1.048139489,51.623,1495.753,7.127,4.5,7.22,59,24,35
gas_09,gas_09_comp_nit,165423,pitch_up,comp,nit,104,1.058514805,51.623,1495.753,7.127,4.5,7.22,54,24,30
gas_09,gas_09_solo_air,143321,pitch_up,solo,air,242,1.096362985,51.623,1495.753,7.127,4.5,7.22,51,24,27
gas_09,gas_09_solo_hel,101810,pitch_up,solo,hel,42,0.929515357,51.623,1495.753,7.127,4.5,7.22,55,24,31
gas_09,gas_09_solo_nit,120052,pitch_up,solo,nit,128,0.999009457,51.623,1495.753,7.127,4.5,7.22,52,24,28
gas_10,gas_10_comp_air,163920,pitch_up,comp,air,79,0.892574378,52.871,1428.777,7.833,4.37,4.88,51,-20,71
gas_10,gas_10_comp_hel,122813,pitch_up,comp,hel,27,0.80857837,52.871,1428.777,7.833,4.37,4.88,56,-20,76
gas_10,gas_10_comp_nit,125257,pitch_up,comp,nit,18,0.75227156,52.871,1428.777,7.833,4.37,4.88,60,-20,80
gas_10,gas_10_solo_air,150149,pitch_up,solo,air,66,0.952682256,52.871,1428.777,7.833,4.37,4.88,56,-20,76
gas_10,gas_10_solo_hel,175929,pitch_up,solo,hel,122,0.994427568,52.871,1428.777,7.833,4.37,4.88,52,-20,72
gas_10,gas_10_solo_nit,95516,pitch_up,solo,nit,33,0.964400279,52.871,1428.777,7.833,4.37,4.88,57,-20,77
gas_11,gas_11_comp_air,94818,pitch_up,comp,air,106,1.145135614,55.445,1620.07,7.593,4.62,5.66,61,51,10
gas_11,gas_11_comp_hel,122813,pitch_up,comp,hel,40,0.945948896,55.445,1620.07,7.593,4.62,5.66,56,51,5
gas_11,gas_11_comp_nit,165423,pitch_up,comp,nit,31,1.124323518,55.445,1620.07,7.593,4.62,5.66,54,51,3
